hhid,secteur_residence,taille_menage
10001,Urbain,6
10002,Urbain,5
10003,Urbain,6
10004,Urbain,4
10005,Urbain,6
10008,Urbain,7
10009,Rural,7
10010,Urbain,4
10031,Urbain,4
10032,Urbain,3
10033,Urbain,2
10034,Urbain,7
10035,Urbain,5
10036,Urbain,5
10037,Urbain,2
10038,Urbain,5
10040,Urbain,1
10051,Urbain,5
10053,Urbain,2
10054,Urbain,2
10055,Urbain,4
10056,Urbain,1
10057,Urbain,5
10058,Urbain,5
10059,Urbain,3
10060,Urbain,6
10061,Rural,8
10062,Rural,1
10063,Rural,5
10064,Rural,4
10065,Urbain,6
10066,Rural,1
10067,Rural,3
10068,Rural,6
10069,Rural,2
10070,Rural,4
10071,Rural,6
10072,Rural,8
10073,Rural,2
10074,Rural,5
10075,Rural,2
10076,Rural,2
10077,Rural,1
10078,Rural,1
10079,Rural,2
10080,Rural,6
10091,Rural,2
10092,Rural,2
10093,Rural,5
10094,Rural,7
10096,Rural,2
10097,Rural,5
10098,Rural,1
10099,Rural,1
10100,Rural,2
10102,Rural,1
10103,Rural,7
10104,Rural,2
10105,Rural,4
10106,Rural,6
10107,Rural,6
10108,Rural,3
10109,Rural,6
10110,Rural,4
19001,Urbain,3
19002,Urbain,4
19005,Urbain,5
19006,Urbain,4
19007,Urbain,1
19008,Urbain,2
19009,Urbain,4
19010,Urbain,3
19012,Urbain,3
19014,Urbain,2
19015,Urbain,6
19017,Urbain,7
19018,Urbain,5
19019,Urbain,2
19020,Urbain,5
19023,Urbain,6
19024,Urbain,7
19025,Urbain,6
19026,Urbain,6
19029,Urbain,2
19031,Urbain,5
19032,Urbain,6
19033,Urbain,4
19034,Urbain,5
19035,Urbain,4
19036,Urbain,4
19037,Rural,5
19038,Rural,1
19039,Rural,3
19040,Rural,1
19041,Rural,4
19043,Rural,1
19044,Rural,1
19045,Rural,4
19047,Rural,5
19048,Rural,2
19049,Rural,5
19050,Rural,5
19051,Rural,5
19052,Rural,6
19054,Rural,2
19055,Rural,4
19056,Rural,1
19058,Rural,5
19060,Rural,4
19061,Rural,1
19062,Rural,6
19063,Rural,2
19064,Rural,4
19066,Rural,6
19068,Rural,4
19069,Rural,3
19070,Rural,4
19071,Rural,5
19072,Rural,3
19073,Rural,5
19075,Rural,6
19076,Rural,6
19077,Rural,1
19079,Rural,1
19080,Rural,4
19081,Rural,4
19082,Rural,3
19084,Rural,9
19085,Rural,2
19087,Rural,5
19088,Rural,3
19089,Rural,2
19091,Rural,1
19092,Rural,5
19093,Rural,4
19094,Rural,5
19095,Rural,3
19096,Rural,1
19097,Rural,8
19098,Rural,1
19099,Rural,1
19100,Rural,7
19101,Rural,5
19103,Rural,3
19104,Rural,6
19105,Rural,7
19106,Rural,6
19107,Rural,6
19110,Rural,2
19111,Rural,1
19112,Rural,2
19113,Rural,1
19115,Rural,5
19116,Rural,3
19117,Rural,5
19118,Rural,2
19119,Rural,7
19120,Rural,2
19121,Rural,2
19122,Rural,5
19123,Rural,4
19124,Rural,3
19125,Rural,1
19126,Rural,1
19127,Rural,2
19129,Rural,2
19130,Rural,1
19131,Rural,5
19133,Rural,7
19135,Rural,4
19136,Rural,3
19137,Rural,4
19138,Rural,3
19139,Rural,3
19140,Rural,1
19141,Rural,4
19143,Rural,5
19144,Rural,2
19145,Rural,6
19146,Rural,4
19147,Rural,2
19148,Rural,2
19149,Rural,3
19150,Rural,4
19151,Rural,5
19152,Rural,1
19153,Rural,6
19158,Rural,6
19159,Rural,4
19160,Rural,6
19161,Rural,1
19163,Rural,6
19164,Rural,3
19165,Rural,1
19166,Rural,6
19167,Rural,6
19168,Rural,4
19169,Rural,6
19170,Rural,7
19173,Rural,5
19174,Rural,6
19175,Rural,2
19177,Rural,3
19178,Rural,4
19179,Rural,6
19180,Rural,2
19181,Rural,6
19182,Rural,6
19183,Rural,1
19184,Rural,2
19185,Rural,5
19186,Rural,7
19187,Rural,5
19188,Rural,7
19191,Rural,2
19192,Rural,3
19193,Rural,4
19194,Rural,7
19195,Rural,1
19196,Rural,3
19197,Rural,1
19198,Rural,1
19199,Rural,1
19201,Rural,1
19202,Rural,4
19204,Rural,5
19205,Urbain,6
19206,Urbain,5
19207,Urbain,2
19208,Urbain,6
19209,Urbain,5
19211,Urbain,6
19213,Urbain,4
