lien_chef,n,pct,ic_inf,ic_sup
Enfant du chef,14636,55.11164664683511,54.51103086067359,55.711143664800304
Chef de ménage,4980,18.752118085627142,18.2842225696199,19.22686048753357
Conjoint(e),4273,16.089919795157584,15.649845610569185,16.537426633351203
Petit-enfant,1045,3.9349324095342095,3.7042667292247,4.175745126996611
Frère / Sœur,487,1.8337914674097224,1.6758283710148099,2.0024142359899244
Parent,291,1.095756297774598,0.9740415426897591,1.2283409748209406
Nièce / Neveu,229,0.8622961930940994,0.7546157464832429,0.980924853004217
Beau-fils / Belle-fille,192,0.7229732273976729,0.6246186276771303,0.8323286522010198
Beau-frère / Belle-sœur,137,0.5158715216327145,0.4332795062993025,0.6095576879190154
Autre lien de parenté,123,0.4631547238016342,0.38507037633808955,0.5523618078252668
Enfant adopté,88,0.33136272922393345,0.2658448522414597,0.4080911228244761
Aide domestique,39,0.14685393681515233,0.10444770157946624,0.20070005330065419
Beau-parent,20,0.0753097111872576,0.04600700479598338,0.11628589647401126
Autre personne sans lien de parenté,17,0.06401325450916896,0.03729436122729327,0.102471702699425
