"age_group","sexe","n"
"0-4","Femme",1619
"0-4","Homme",1637
"5-9","Femme",2050
"5-9","Homme",2233
"10-14","Femme",1824
"10-14","Homme",1964
"15-19","Femme",1296
"15-19","Homme",1616
"20-24","Femme",914
"20-24","Homme",980
"25-29","Femme",958
"25-29","Homme",712
"30-34","Femme",833
"30-34","Homme",631
"35-39","Femme",869
"35-39","Homme",583
"40-44","Femme",643
"40-44","Homme",576
"45-49","Femme",564
"45-49","Homme",484
"50-54","Femme",479
"50-54","Homme",443
"55-59","Femme",342
"55-59","Homme",384
"60-64","Femme",344
"60-64","Homme",287
"65-69","Femme",234
"65-69","Homme",232
"70-74","Femme",159
"70-74","Homme",177
"75-79","Femme",97
"75-79","Homme",124
"80-84","Femme",74
"80-84","Homme",61
"85-89","Femme",38
"85-89","Homme",42
"90-94","Femme",19
"90-94","Homme",11
"95-99","Femme",12
"95-99","Homme",10
"100-104","Homme",1
"125-129","Homme",1
