"Variable","**Overall**  
n = 149016938.11026","**Urbain**  
n = 40470610.3218689","**Rural**  
n = 108546327.788391","**p-value**"
"Sexe",NA,NA,NA,"0.8"
"Homme","73,777,486 (50%)","20,102,397 (50%)","53,675,089 (49%)",NA
"Femme","75,239,452 (50%)","20,368,213 (50%)","54,871,239 (51%)",NA
"Alphabétisé(e)","89,689,653 (65%)","29,622,610 (78%)","60,067,043 (60%)","<0.001"
"Non renseigné","10,344,764","2,455,414","7,889,350",NA
"Niveau d'éducation",NA,NA,NA,"<0.001"
"Aucun","34,270,672 (25%)","4,923,192 (13%)","29,347,479 (29%)",NA
"Primaire","45,940,268 (33%)","12,203,776 (32%)","33,736,492 (34%)",NA
"Secondaire","36,196,937 (26%)","12,830,779 (34%)","23,366,158 (23%)",NA
"Technique/Prof","6,310,736 (5%)","3,002,759 (8%)","3,307,977 (3%)",NA
"Tertiaire","4,510,225 (3%)","2,503,945 (7%)","2,006,279 (2%)",NA
"Coranique/Adulte","11,443,338 (8%)","2,550,746 (7%)","8,892,592 (9%)",NA
"Non renseigné","10,344,764","2,455,414","7,889,350",NA
"Scolarisé(e) en 2018/2019","52,892,916 (49%)","16,199,932 (48%)","36,692,984 (49%)","0.3"
"Non renseigné","40,757,328","6,483,719","34,273,609",NA
