"state_secta","pct_aucun","quintile"
1,0,1
2,1.02249488752556,5
3,0.546448087431694,3
4,0.386100386100386,3
5,0.267379679144385,3
6,0,1
7,0.560224089635854,4
8,0,1
9,0.523560209424084,3
10,0,1
11,0,1
12,0.248756218905473,3
13,0.796812749003984,4
14,1,4
15,1.05540897097625,5
16,0,1
17,0.706713780918728,4
18,1.953125,5
19,0.50125313283208,3
20,0.657894736842105,4
21,1.26582278481013,5
22,0,1
23,0,1
24,0,2
25,0,2
26,0.591715976331361,4
27,0,2
28,0,2
29,0,2
30,0,2
31,0,2
32,0,2
33,0.813008130081301,4
34,4.44444444444444,5
35,7.14285714285714,5
36,2.20994475138122,5
37,0,3
