"variable","nb_na","pct_na"
"s1q12_4",30323,99.95
"s1q13a_4",30323,99.95
"s1q32",30294,99.86
"s1q33",30294,99.86
"s1q12_3",30239,99.68
"s1q13a_3",30239,99.68
"s1q13c",29851,98.4
"s1q12_2",29721,97.97
"s1q13a_2",29721,97.97
"s1q15",29547,97.4
"s1q16",29547,97.4
"s1q17",28775,94.85
"s1q5b",28555,94.13
"s1q25",28254,93.13
"s1q26",28254,93.13
"s1q27",28254,93.13
"s1q19",27935,92.08
"s1q20",27774,91.55
"s1q21",27774,91.55
"s1q22",27774,91.55
"s1q24",27447,90.47
"s1q31b",27412,90.36
"s1q31d",26846,88.49
"s1q31",26846,88.49
"s1q30",26803,88.35
"s1q29",26801,88.34
"s1q28",26560,87.55
"s1q18",25364,83.61
"s1q23",25364,83.61
"s1q5a",24852,81.92
"s1q6_day",24852,81.92
"s1q6_month",24852,81.92
"s1q6_year",22727,74.92
"s1q13a_1",22259,73.37
"s1q12_1",22257,73.37
"s1q11",21959,72.38
"s1q13b",21959,72.38
"s1q7",12985,42.8
"s1q8c",12500,41.2
"s1q2",3780,12.46
"s1q3",3780,12.46
"s1q4",3780,12.46
"s1q8a",3780,12.46
"s1q8b",3780,12.46
"s1q13",3780,12.46
"s1q4a",790,2.6
"zone",0,0
"state",0,0
"lga",0,0
"sector",0,0
"ea",0,0
"hhid",0,0
"indiv",0,0
"s1q3_os",0,0
"s1q16_os",0,0
"s1q17_os",0,0
"s1q22_oth",0,0
"s1q27_os",0,0
"s1q28_os",0,0
