"Variable","**Overall**  
n = 149016938.11026","**Urbain**  
n = 40470610.3218689","**Rural**  
n = 108546327.788391","**p-value**"
"Sexe",NA,NA,NA,"0.8"
"Homme","73,777,486 (50%)","20,102,397 (50%)","53,675,089 (49%)",NA
"Femme","75,239,452 (50%)","20,368,213 (50%)","54,871,239 (51%)",NA
"Groupe d'âge",NA,NA,NA,"0.001"
"0-14","66,220,652 (44%)","16,408,575 (41%)","49,812,077 (46%)",NA
"15-34","43,595,487 (29%)","12,594,958 (31%)","31,000,529 (29%)",NA
"35-59","29,470,788 (20%)","8,808,562 (22%)","20,662,226 (19%)",NA
"60+","9,730,011 (7%)","2,658,515 (7%)","7,071,495 (7%)",NA
"Maladie/blessure (4 sem.)","10,798,788 (9%)","2,726,715 (8%)","8,072,073 (9%)","0.4"
"Non renseigné","24,263,534","6,578,267","17,685,267",NA
"A consulté un praticien","25,973,839 (17%)","7,216,144 (18%)","18,757,695 (17%)","0.6"
"Type de prestataire",NA,NA,NA,"0.2"
"Public","7,310,434 (26%)","1,721,725 (22%)","5,588,708 (27%)",NA
"Privé","19,927,460 (71%)","5,748,114 (75%)","14,179,346 (70%)",NA
"Autre","769,356 (3%)","199,568 (3%)","569,789 (3%)",NA
"Non renseigné","121,009,689","32,801,204","88,208,485",NA
"Couvert par le NHIS","2,995,166 (2%)","1,623,467 (4%)","1,371,699 (1%)","0.001"
"Quintile de consommation",NA,NA,NA,"<0.001"
"Q1 (plus pauvre)","45,238,816 (30%)","5,279,103 (13%)","39,959,713 (37%)",NA
"Q2","34,221,111 (23%)","7,046,483 (17%)","27,174,628 (25%)",NA
"Q3","29,764,089 (20%)","9,484,610 (23%)","20,279,479 (19%)",NA
"Q4","24,102,491 (16%)","10,038,916 (25%)","14,063,576 (13%)",NA
"Q5 (plus riche)","15,690,430 (11%)","8,621,499 (21%)","7,068,932 (7%)",NA
