"state.x","total","prop_aucun","quintile"
1,583,8.23327615780446,"Q3"
2,489,5.52147239263804,"Q2"
3,549,8.56102003642987,"Q3"
4,259,9.65250965250965,"Q3"
5,374,27.2727272727273,"Q4"
6,152,6.57894736842105,"Q2"
7,357,5.32212885154062,"Q2"
8,98,57.1428571428571,"Q5 (moins instruit)"
9,191,15.7068062827225,"Q4"
10,346,2.3121387283237,"Q1 (plus instruit)"
11,268,13.0597014925373,"Q4"
12,402,7.96019900497512,"Q3"
13,251,4.38247011952191,"Q1 (plus instruit)"
14,300,12,"Q3"
15,379,15.3034300791557,"Q4"
16,368,8.96739130434783,"Q3"
17,283,63.2508833922262,"Q5 (moins instruit)"
18,512,24.0234375,"Q4"
19,399,47.6190476190476,"Q5 (moins instruit)"
20,304,31.9078947368421,"Q5 (moins instruit)"
21,79,32.9113924050633,"Q5 (moins instruit)"
22,186,5.91397849462366,"Q2"
23,304,3.94736842105263,"Q1 (plus instruit)"
24,542,1.8450184501845,"Q1 (plus instruit)"
25,63,4.76190476190476,"Q2"
26,169,2.9585798816568,"Q1 (plus instruit)"
27,244,2.45901639344262,"Q1 (plus instruit)"
28,151,9.93377483443709,"Q3"
29,140,5.71428571428571,"Q2"
30,200,4,"Q1 (plus instruit)"
31,167,13.7724550898204,"Q4"
32,281,4.98220640569395,"Q2"
33,123,79.6747967479675,"Q5 (moins instruit)"
34,225,12.4444444444444,"Q4"
35,126,36.5079365079365,"Q5 (moins instruit)"
36,181,79.0055248618785,"Q5 (moins instruit)"
37,300,3.33333333333333,"Q1 (plus instruit)"
