"variable","nb_na","pct_na"
"country",0,0
"wave",0,0
"visit",0,0
"surveyt",0,0
"surveyprd",0,0
"zone",0,0
"state",0,0
"lga",0,0
"ea",0,0
"rururb",0,0
"hhid",0,0
"hhsize",0,0
"nfdwater",0,0
"nfdelec",0,0
"nfdgas",0,0
"nfdfwood",0,0
"nfdchar",0,0
"nfdkero",0,0
"nfdliqd",0,0
"nfdutil",0,0
"nfdcloth",0,0
"nfdfmtn",0,0
"nfdrepar",0,0
"nfddome",0,0
"nfdpetro",0,0
"nfddiesl",0,0
"nfdfares",0,0
"nfdtrans",0,0
"nfdcomm",0,0
"nfdrecre",0,0
"nfdtbac",0,0
"nfdrnthh",0,0
"nfdinsur",0,0
"fdsorby",0,0
"fdmilby",0,0
"fdmaizby",0,0
"fdriceby",0,0
"fdyamby",0,0
"fdcasby",0,0
"fdcereby",0,0
"fdbrdby",0,0
"fdtubby",0,0
"fdpoulby",0,0
"fdmeatby",0,0
"fdfishby",0,0
"fddairby",0,0
"fdfatsby",0,0
"fdfrutby",0,0
"fdvegby",0,0
"fdbeanby",0,0
"fdswtby",0,0
"fdbevby",0,0
"fdalcby",0,0
"fdrestby",0,0
"fdothby",0,0
"fdsorpr",0,0
"fdmilpr",0,0
"fdmaizpr",0,0
"fdricepr",0,0
"fdyampr",0,0
"fdcaspr",0,0
"fdcerepr",0,0
"fdbrdpr",0,0
"fdtubpr",0,0
"fdpoulpr",0,0
"fdmeatpr",0,0
"fdfishpr",0,0
"fddairpr",0,0
"fdfatspr",0,0
"fdfrutpr",0,0
"fdvegpr",0,0
"fdbeanpr",0,0
"fdswtpr",0,0
"fdbevpr",0,0
"fdalcpr",0,0
"fdothpr",0,0
"edtexp",0,0
"nfdfoth",0,0
"totcons",0,0
"hhweight",0,0
