"variable","nb_na","pct_na"
"s1q36b",30232,99.99
"s1q37",30232,99.99
"s1q38",30232,99.99
"s1q41",30227,99.98
"s1q10d",30217,99.94
"s1q32",30201,99.89
"s1q33",30201,99.89
"s1q34",30201,99.89
"s1q35",30201,99.89
"s1q39",30201,99.89
"s1q40",30201,99.89
"s1q10c",30077,99.48
"s1q27",29920,98.96
"s1q26",29919,98.96
"s1q25",29918,98.95
"s1q22",29839,98.69
"s1q21",29838,98.69
"s1q20",29833,98.67
"s1q19",29741,98.37
"s1q24",29647,98.06
"s1q10b",29352,97.08
"s1q10a",29346,97.06
"s1q16",29339,97.04
"s1q23",29338,97.04
"s1q17",29337,97.03
"s1q18",29337,97.03
"s1q15",29332,97.02
"s1q9",29318,96.97
"s1q31b",28891,95.56
"s1q31d",28816,95.31
"s1q29",28787,95.21
"s1q30",28782,95.2
"s1q28",28280,93.54
"s1q6_day",24705,81.71
"s1q6_month",24701,81.7
"s1q6_year",24700,81.7
"s1q12",21725,71.86
"s1q8",21365,70.67
"s1q11",21293,70.43
"s1q13",1247,4.12
"s1q7",1234,4.08
"s1q5",1188,3.93
"s1q4",1073,3.55
"s1q14",951,3.15
"s1q3",19,0.06
"zone",0,0
"state",0,0
"lga",0,0
"sector",0,0
"ea",0,0
"hhid",0,0
"indiv",0,0
"s1q2",0,0
"s1q3b",0,0
"s1q16b",0,0
"s1q17b",0,0
"s1q22b",0,0
"s1q27b",0,0
"s1q28b",0,0
"s1q31a",0,0
"s1q31c",0,0
"s1q34b",0,0
"s1q36",0,0
"s1q37b",0,0
"s1q38b",0,0
"s1q39b",0,0
"s1q41b",0,0
"tracked_obs",0,0
