"variable","nb_na","pct_na"
"s4aq2c",27340,99.92
"s4aq8b",27190,99.37
"s4aq26",27189,99.36
"s4aq48",27164,99.27
"s4aq49",27162,99.27
"s4aq2b",27143,99.2
"s4aq7b",27091,99.01
"s4aq34",27034,98.8
"s4aq24",26985,98.62
"s4aq47",26955,98.51
"s4aq35b",26952,98.5
"s4aq6b",26947,98.48
"s4aq39",26940,98.45
"s4aq30",26917,98.37
"s4aq17",26815,98
"s4aq35c",26806,97.96
"s4aq16",26803,97.95
"s4aq32",26776,97.85
"s4aq28",26654,97.41
"s4aq36",26441,96.63
"s4aq5",25655,93.76
"s4aq11a",25605,93.58
"s4aq12a",25604,93.57
"s4aq41",25259,92.31
"s4aq35a",24990,91.33
"s4aq11b",24658,90.11
"s4aq12b",24622,89.98
"s4aq2a",24496,89.52
"s4aq10",24372,89.07
"s4aq9",24314,88.86
"s4aq8a",24307,88.83
"s4aq53",24209,88.47
"s4aq52",24206,88.46
"s4aq7a",24148,88.25
"s4aq6a",24129,88.18
"s4aq4",24106,88.1
"s4aq54",24028,87.81
"s4aq45b",23521,85.96
"s4aq45a",23511,85.92
"s4aq44a",23498,85.88
"s4aq44b",23496,85.87
"s4aq50",23405,85.54
"s4aq46",23400,85.52
"s4aq14",22284,81.44
"s4aq38",20400,74.55
"s4aq43",20268,74.07
"s4aq21",19922,72.81
"s4aq20",17807,65.08
"s4aq19",17780,64.98
"s4aq51",7237,26.45
"s4aq40",7227,26.41
"s4aq42",4377,16
"s4aq13",291,1.06
"s4aq18",283,1.03
"s4aq37",278,1.02
"s4aq31",268,0.98
"s4aq15",267,0.98
"s4aq27",261,0.95
"s4aq25",260,0.95
"s4aq33",257,0.94
"s4aq23",252,0.92
"s4aq22a",247,0.9
"s4aq29",244,0.89
"s4aq22e",242,0.88
"s4aq22b",241,0.88
"s4aq22c",240,0.88
"s4aq22d",240,0.88
"s4aq3",237,0.87
"s4aq1",196,0.72
"zone",0,0
"state",0,0
"lga",0,0
"sector",0,0
"ea",0,0
"hhid",0,0
"indiv",0,0
"s4aq6c",0,0
"s4aq7c",0,0
"s4aq8c",0,0
"s4aq20b",0,0
"s4aq36b",0,0
"s4aq41b",0,0
"s4aq54b",0,0
"tracked_obs",0,0
