"type_lib","categorie","effectif","prop","prop_label"
"Body Pains","Symptomatic",518,0.250847457627119,"25.1%"
"Malaria","Infectious",514,0.248910411622276,"24.9%"
"Catarrh","Infectious",244,0.1181598062954,"11.8%"
"Headache","Symptomatic",195,0.0944309927360775,"9.4%"
"Cough","Symptomatic",182,0.088135593220339,"8.8%"
"Common Cold","Symptomatic",71,0.0343825665859564,"3.4%"
"Ulcer / Stomach Pain","Symptomatic",70,0.0338983050847458,"3.4%"
"Injury","Traumatic",58,0.0280871670702179,"2.8%"
"Other","Other",36,0.0174334140435835,"1.7%"
"Eye Problem","Symptomatic",27,0.0130750605326877,"1.3%"
