sexe,age_groupe,prop,se,low,high
Femme,0-4,0.10318678502211956,0.01105242878195624,0.08152442266779143,0.12484914737644769
Homme,0-4,0.1321805890773355,0.016232746635168264,0.10036499030224194,0.16399618785242903
Femme,5-14,0.05820671274884278,0.006039145931916718,0.046370204224904434,0.07004322127278112
Homme,5-14,0.05861803604513602,0.009920135900314634,0.039174926958776515,0.07806114513149552
Femme,15-24,0.08235713568431524,0.009563509335044186,0.06361300182181603,0.10110126954681445
Homme,15-24,0.05378259453810829,0.0069738485137535895,0.040114102617513074,0.0674510864587035
Femme,25-44,0.09597051196493787,0.008524188728021548,0.07926340906059336,0.11267761486928239
Homme,25-44,0.07962305075163455,0.008483516853068068,0.06299566325738257,0.09625043824588653
Femme,45-64,0.1340463749683864,0.01270278186321314,0.10914938001302005,0.15894336992375274
Homme,45-64,0.11479670990244888,0.012513218820640135,0.09027125168332545,0.1393221681215723
Femme,65+,0.2560641271586937,0.03287497770711287,0.19163035486019533,0.3204978994571921
Homme,65+,0.19777874238485535,0.02458993311243857,0.14958335910222686,0.24597412566748383
