prestataire,effectif_pondere
Pharmacie / dépôt,15634986.523620605
Médecin,6901009.129486084
Aucun,4517725.234619141
Infirmier(ère),2315835.4022521973
Pharmacien,1520537.2203979492
Tradipraticien,1387022.5805664062
Assistant médical,821288.3854370117
Agent de santé communautaire (CHEW),776708.4704589844
Vendeur de médicaments (PMV),517761.2184448242
Agent de santé communautaire junior,419967.29345703125
Sage-femme,133127.98571777344
Dentiste,71856.63024902344
Soignant spirituel,30293.595947265632
Autre,12171.541015625
Accoucheuse traditionnelle,2030.83544921875
