"maladie","categorie","n","pct"
"Paludisme","Infectieuse",2888440.2364502,26.7478194978943
"Faiblesse/Fatigue","Autre",2301812.28903198,21.3154694523741
"Rhinite/Catarrhe","Infectieuse",1329834.05813599,12.3146606602075
"Céphalée","Autre",1093049.81964111,10.1219678735321
"Toux","Infectieuse",1049472.05081177,9.71842471551242
"Rhume commun","Infectieuse",388594.084899902,3.59849731688614
"Douleurs articulaires","Chronique",326644.009460449,3.02482111101391
"Blessure/Traumatisme","Traumatique",236650.010681152,2.19144979702036
"Autre","Autre",197312.514953613,1.82717283468566
"Typhoïde","Infectieuse",152145.958618164,1.4089170297164
