"sexe_label","gr_age","N","n_mal","Taux","IC_inf","IC_sup"
"Homme","0-4 ans",1267,154,12.2,10.4,14.1
"Homme","5-14 ans",3691,204,5.5,4.8,6.3
"Homme","15-29 ans",2984,190,6.4,5.5,7.3
"Homme","30-44 ans",1488,128,8.6,7.2,10.1
"Homme","45-59 ans",1051,119,11.3,9.5,13.4
"Homme","60+ ans",653,135,20.7,17.6,24
"Femme","0-4 ans",1294,141,10.9,9.3,12.7
"Femme","5-14 ans",3428,232,6.8,5.9,7.7
"Femme","15-29 ans",2732,225,8.2,7.2,9.3
"Femme","30-44 ans",1901,204,10.7,9.4,12.2
"Femme","45-59 ans",1041,166,15.9,13.8,18.3
"Femme","60+ ans",641,167,26.1,22.7,29.6
