"Tenure","Milieu","n","Pct_dans_milieu"
"Échange temporaire","Rural",39,0.4
"Échange temporaire","Urbain",5,0.3
"Achat direct","Rural",914,9.7
"Achat direct","Urbain",383,23.2
"Distribution communale","Rural",430,4.6
"Distribution communale","Urbain",31,1.9
"Héritage familial","Rural",6260,66.5
"Héritage familial","Urbain",700,42.4
"Location (cash)","Rural",932,9.9
"Location (cash)","Urbain",295,17.9
"Métayage","Rural",47,0.5
"Métayage","Urbain",21,1.3
"Prêt/Gratuit","Rural",795,8.4
"Prêt/Gratuit","Urbain",214,13
