"state_code","superf_mediane_ha","n_parcelles","state_name"
1,0.073851,67,"Abia"
2,0.55354,271,"Adamawa"
3,0.053822,123,"Akwa Ibom"
4,0.04564,15,"Anambra"
5,0.393165,26,"Bauchi"
6,0.12905,19,"Bayelsa"
7,0.107025,26,"Benue"
8,0.400855,2,"Borno"
9,0.15869,19,"Cross River"
10,0.083874,7,"Delta"
11,0.093492,40,"Ebonyi"
12,0.145025,14,"Edo"
13,0.245205,2,"Ekiti"
14,0.049567,51,"Enugu"
15,0.34609,19,"Gombe"
16,0.0207045,36,"Imo"
17,0.3762,12,"Jigawa"
18,0.268605,36,"Kaduna"
19,0.14023,27,"Kano"
20,0.34403,39,"Katsina"
21,0.18312,1,"Kebbi"
22,0.15933,9,"Kogi"
23,0.70567,25,"Kwara"
25,0.51915,7,"Nasarawa"
27,0.16138,7,"Ogun"
28,0.23963,7,"Ondo"
30,0.34196,11,"Oyo"
31,0.2665,44,"Plateau"
32,0.10748,19,"Rivers"
33,0.22891,29,"Sokoto"
34,0.5641,17,"Taraba"
35,0.9306,8,"Yobe"
36,0.393305,30,"Zamfara"
37,0.14678,1,"FCT"
