nom_etat,n_menages,mediane_pond_ha,mediane_brute_ha,moyenne_ha
Abia,176,0.181,0.182,0.306
Adamawa,218,1.259,1.233,1.877
Akwa Ibom,156,0.124,0.121,0.159
Anambra,61,0.092,0.091,0.168
Bauchi,212,2.216,2.138,2.756
Bayelsa,34,0.303,0.218,0.394
Benue,150,0.778,0.764,1.176
Borno,15,0.24,1.284,0.722
Cross River,65,0.347,0.363,0.43
Delta,76,0.44,0.447,0.597
Ebonyi,98,0.227,0.223,0.352
Edo,89,0.32,0.349,0.605
Ekiti,84,0.451,0.435,0.702
Enugu,124,0.127,0.152,0.279
FCT,34,1.165,1.181,1.737
Gombe,105,1.401,1.531,1.84
Imo,142,0.091,0.093,0.121
Jigawa,89,1.241,1.341,1.852
Kaduna,153,0.643,0.645,1.084
Kano,116,0.739,0.746,0.896
Katsina,110,0.925,0.939,1.327
Kebbi,63,0.955,1.071,1.633
Kogi,65,0.657,0.625,0.805
Kwara,115,1.922,1.853,2.264
Nasarawa,22,1.401,1.162,1.847
Niger,76,2,1.799,2.747
Ogun,27,0.2,0.28,0.474
Ondo,35,0.626,0.543,0.845
Osun,26,0.663,0.695,1.089
Oyo,41,1.078,1.172,1.654
Plateau,75,2.317,2.223,2.539
Rivers,54,0.344,0.343,0.574
Sokoto,57,1.17,1.176,1.348
Taraba,87,1.091,1.325,1.714
Yobe,55,1.523,1.734,2.071
Zamfara,55,0.739,0.728,0.776
