"hhid","plotid","wave","state","zone","sector","lga","area_ha","area_declared_ha","area_gps_ha"
10002,1,4,1,4,1,115,NA,NA,NA
10003,1,4,1,4,1,115,NA,NA,NA
10004,1,4,1,4,1,115,NA,NA,NA
10008,1,4,1,4,1,115,NA,NA,NA
10009,1,4,1,4,2,105,1.8811,NA,1.8811
10009,2,4,1,4,2,105,0.19539,NA,0.19539
10010,1,4,1,4,1,115,NA,NA,NA
10031,1,4,1,4,1,111,0.050589001,NA,0.050589001
10033,1,4,1,4,1,111,NA,NA,NA
10034,1,4,1,4,1,111,NA,NA,NA
10037,1,4,1,4,1,111,NA,NA,NA
10053,1,4,1,4,1,102,NA,NA,NA
10057,1,4,1,4,1,102,NA,NA,NA
10061,1,4,1,4,2,107,0.070138,NA,0.070138
10061,2,4,1,4,2,107,0.075034998,NA,0.075034998
10061,3,4,1,4,2,107,0.068153003,NA,0.068153003
10061,4,4,1,4,2,107,NA,NA,NA
10061,5,4,1,4,2,107,0.11458,0.11458,NA
10061,6,4,1,4,2,107,0.024978,NA,0.024978
10062,1,4,1,4,2,107,0.096596997,NA,0.096596997
10062,2,4,1,4,2,107,0.055015997,NA,0.055015997
10062,3,4,1,4,2,107,0.028869,0.028869,NA
10063,1,4,1,4,2,107,0.012027,0.013806,0.012027
10063,2,4,1,4,2,107,0.16345,NA,0.16345
10063,3,4,1,4,2,107,0.036814999,NA,0.036814999
10064,1,4,1,4,2,107,0.10881,NA,0.10881
10064,2,4,1,4,2,107,0.13005,NA,0.13005
10064,3,4,1,4,2,107,0.091576001,NA,0.091576001
10065,1,4,1,4,1,102,NA,NA,NA
10065,2,4,1,4,1,102,NA,NA,NA
10066,1,4,1,4,2,107,0.14136,NA,0.14136
10066,2,4,1,4,2,107,0.29507,NA,0.29507
10067,1,4,1,4,2,107,0.26933,NA,0.26933
10067,2,4,1,4,2,107,0.089964001,NA,0.089964001
10067,4,4,1,4,2,107,0.022619,NA,0.022619
10068,1,4,1,4,2,107,0.22701001,NA,0.22701001
10068,2,4,1,4,2,107,0.16071,0.16071,NA
10069,1,4,1,4,2,107,0.046988,NA,0.046988
10069,2,4,1,4,2,107,0.12455,NA,0.12455
10070,1,4,1,4,2,107,NA,NA,NA
10070,2,4,1,4,2,107,0.082028998,NA,0.082028998
10070,3,4,1,4,2,107,NA,NA,NA
10071,1,4,1,4,2,117,0.020234,NA,0.020234
10071,2,4,1,4,2,117,0.049739999,NA,0.049739999
10071,3,4,1,4,2,117,0.018561,NA,0.018561
10071,4,4,1,4,2,117,NA,NA,NA
10072,1,4,1,4,2,117,0.038082999,NA,0.038082999
10072,2,4,1,4,2,117,0.041898999,NA,0.041898999
10072,3,4,1,4,2,117,NA,NA,NA
10073,1,4,1,4,2,117,0.059421997,NA,0.059421997
10073,2,4,1,4,2,117,NA,NA,NA
10074,1,4,1,4,2,117,0.044973999,NA,0.044973999
10074,2,4,1,4,2,117,NA,NA,NA
10075,1,4,1,4,2,117,0.05355,NA,0.05355
10075,2,4,1,4,2,117,0.027310001,0.051448,0.027310001
10075,3,4,1,4,2,117,NA,NA,NA
10076,1,4,1,4,2,117,0.021967,NA,0.021967
10076,2,4,1,4,2,117,0.038539999,NA,0.038539999
10076,3,4,1,4,2,117,NA,NA,NA
10077,1,4,1,4,2,117,0.032717001,NA,0.032717001
10077,2,4,1,4,2,117,NA,NA,NA
10078,1,4,1,4,2,117,0.039978,NA,0.039978
10078,2,4,1,4,2,117,NA,NA,NA
10078,3,4,1,4,2,117,NA,NA,NA
10079,1,4,1,4,2,117,0.056637,NA,0.056637
10079,2,4,1,4,2,117,0.022448,NA,0.022448
10079,3,4,1,4,2,117,NA,NA,NA
10080,1,4,1,4,2,117,0.022938,NA,0.022938
10080,2,4,1,4,2,117,0.042279001,NA,0.042279001
10080,3,4,1,4,2,117,NA,NA,NA
10091,1,4,1,4,2,105,0.083337,NA,0.083337
10091,2,4,1,4,2,105,0.21276001,NA,0.21276001
10091,3,4,1,4,2,105,NA,NA,NA
10092,1,4,1,4,2,105,0.063110999,NA,0.063110999
10092,2,4,1,4,2,105,0.060303998,NA,0.060303998
10092,3,4,1,4,2,105,NA,NA,NA
10093,2,4,3,5,2,322,0.27806,0.27806,NA
10093,3,4,3,5,2,322,NA,NA,NA
10093,4,4,3,5,2,322,NA,NA,NA
10093,6,4,3,5,2,322,0.13064,NA,0.13064
10093,7,4,3,5,2,322,0.068796002,NA,0.068796002
10094,1,4,1,4,2,105,0.048481,NA,0.048481
