"identifiant_menage","region","etat","lga","zone_residence","ea","cluster","strate","poids_menage","identifiant_parcelle","superficie_declaree","superficie_gps_m2","superficie_parcelle","unite_superficie","mode_acquisition","superficie_ha_standard","superficie_ha_heaps","superficie_ha_ridges","superficie_ha_stands","superficie_ha","superficie_gps_ha","outlier_superficie","superficie_ha_propre"
10001,"South East","Abia",115,"Urbain",670,"115-670",4,15279.640625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10002,"South East","Abia",115,"Urbain",670,"115-670",4,15279.640625,1,NA,NA,0.5,5,"propriété pleine",0.202343,NA,NA,NA,0.202343,NA,FALSE,0.202343
10003,"South East","Abia",115,"Urbain",670,"115-670",4,15279.640625,1,NA,NA,562.96,7,"propriété pleine",0.056296,NA,NA,NA,0.056296,NA,FALSE,0.056296
10004,"South East","Abia",115,"Urbain",670,"115-670",4,15279.640625,1,NA,NA,0.5,5,"propriété pleine",0.202343,NA,NA,NA,0.202343,NA,FALSE,0.202343
10005,"South East","Abia",115,"Urbain",670,"115-670",4,15279.640625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10008,"South East","Abia",115,"Urbain",670,"115-670",4,15279.640625,1,NA,NA,5243,7,"propriété pleine",0.5243,NA,NA,NA,0.5243,NA,FALSE,0.5243
10009,"South East","Abia",105,"Rural",0,"115-670",4,15279.640625,1,NA,18811,350,2,"prêt",NA,NA,0.805,NA,0.805,1.8811,FALSE,0.805
10009,"South East","Abia",105,"Rural",0,"115-670",4,15279.640625,2,NA,1953.9,100,2,"prêt",NA,NA,0.23,NA,0.23,0.19539,FALSE,0.23
10010,"South East","Abia",115,"Urbain",670,"115-670",4,15279.640625,1,NA,NA,0.5,5,"propriété pleine",0.202343,NA,NA,NA,0.202343,NA,FALSE,0.202343
10031,"South East","Abia",111,"Urbain",1146,"111-1146",4,4958.84716796875,1,NA,505.89001,70,1,"prêt",NA,0.0133,NA,NA,0.0133,0.050589001,FALSE,0.0133
10032,"South East","Abia",111,"Urbain",1146,"111-1146",4,4958.84716796875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10033,"South East","Abia",111,"Urbain",1146,"111-1146",4,4958.84716796875,1,NA,NA,0.1,5,"héritage",0.0404686,NA,NA,NA,0.0404686,NA,FALSE,0.0404686
10034,"South East","Abia",111,"Urbain",1146,"111-1146",4,4958.84716796875,1,NA,NA,0.5,5,"propriété pleine",0.202343,NA,NA,NA,0.202343,NA,FALSE,0.202343
10035,"South East","Abia",111,"Urbain",1146,"111-1146",4,4958.84716796875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10036,"South East","Abia",111,"Urbain",1146,"111-1146",4,4958.84716796875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10037,"South East","Abia",111,"Urbain",1146,"111-1146",4,4958.84716796875,1,NA,NA,482.63,7,"héritage",0.048263,NA,NA,NA,0.048263,NA,FALSE,0.048263
10038,"South East","Abia",111,"Urbain",1146,"111-1146",4,4958.84716796875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10040,"South East","Abia",111,"Urbain",1146,"111-1146",4,4958.84716796875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10051,"South East","Abia",102,"Urbain",1690,"102-1690",4,3545.4638671875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10053,"South East","Abia",102,"Urbain",1690,"102-1690",4,3545.4638671875,1,NA,NA,1000,7,"propriété pleine",0.1,NA,NA,NA,0.1,NA,FALSE,0.1
10054,"South East","Abia",102,"Urbain",1690,"102-1690",4,3545.4638671875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10055,"South East","Abia",102,"Urbain",0,"102-1690",4,3545.4638671875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
