hhid,region,etat,lga,zone_residence,ea,cluster,strate,wt_wave4,identifiant_parcelle,superficie_declaree,superficie_gps_m2,superficie_parcelle,unite_superficie,mode_acquisition,superficie_ha_standard,superficie_ha_heaps,superficie_ha_ridges,superficie_ha_stands,area_ha,area_gps_ha,diff_ha,sous_estime,outlier,area_ha_propre
10001,South East,Abia,115,Urbain,670,115-670,4,15279.640625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10002,South East,Abia,115,Urbain,670,115-670,4,15279.640625,1,NA,NA,0.5,5,Propriété pleine,0.202343,NA,NA,NA,0.202343,NA,NA,NA,FALSE,0.202343
10003,South East,Abia,115,Urbain,670,115-670,4,15279.640625,1,NA,NA,562.96,7,Propriété pleine,0.056296000000000006,NA,NA,NA,0.056296000000000006,NA,NA,NA,FALSE,0.056296000000000006
10004,South East,Abia,115,Urbain,670,115-670,4,15279.640625,1,NA,NA,0.5,5,Propriété pleine,0.202343,NA,NA,NA,0.202343,NA,NA,NA,FALSE,0.202343
10005,South East,Abia,115,Urbain,670,115-670,4,15279.640625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10008,South East,Abia,115,Urbain,670,115-670,4,15279.640625,1,NA,NA,5243,7,Propriété pleine,0.5243,NA,NA,NA,0.5243,NA,NA,NA,FALSE,0.5243
10009,South East,Abia,105,Rural,0,115-670,4,15279.640625,1,NA,18811,350,2,Prêt,NA,NA,0.8049999999999999,NA,0.8049999999999999,1.8811,1.0761,TRUE,FALSE,0.8049999999999999
10009,South East,Abia,105,Rural,0,115-670,4,15279.640625,2,NA,1953.9,100,2,Prêt,NA,NA,0.22999999999999998,NA,0.22999999999999998,0.19539,-0.034609999999999974,FALSE,FALSE,0.22999999999999998
10010,South East,Abia,115,Urbain,670,115-670,4,15279.640625,1,NA,NA,0.5,5,Propriété pleine,0.202343,NA,NA,NA,0.202343,NA,NA,NA,FALSE,0.202343
10031,South East,Abia,111,Urbain,1146,111-1146,4,4958.84716796875,1,NA,505.89001,70,1,Prêt,NA,0.013300000000000001,NA,NA,0.013300000000000001,0.050589001,0.037289001,TRUE,FALSE,0.013300000000000001
10032,South East,Abia,111,Urbain,1146,111-1146,4,4958.84716796875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10033,South East,Abia,111,Urbain,1146,111-1146,4,4958.84716796875,1,NA,NA,0.1,5,Héritage,0.0404686,NA,NA,NA,0.0404686,NA,NA,NA,FALSE,0.0404686
10034,South East,Abia,111,Urbain,1146,111-1146,4,4958.84716796875,1,NA,NA,0.5,5,Propriété pleine,0.202343,NA,NA,NA,0.202343,NA,NA,NA,FALSE,0.202343
10035,South East,Abia,111,Urbain,1146,111-1146,4,4958.84716796875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10036,South East,Abia,111,Urbain,1146,111-1146,4,4958.84716796875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10037,South East,Abia,111,Urbain,1146,111-1146,4,4958.84716796875,1,NA,NA,482.63,7,Héritage,0.048263,NA,NA,NA,0.048263,NA,NA,NA,FALSE,0.048263
10038,South East,Abia,111,Urbain,1146,111-1146,4,4958.84716796875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
