"identifiant_menage","superficie_totale_ha","superficie_gps_totale_ha","nb_parcelles","nb_parcelles_valides","region","etat","zone_residence","lga","strate","poids_menage"
10001,0,0,1,0,4,1,1,115,4,15279.640625
10002,0.202343,0,1,1,4,1,1,115,4,15279.640625
10003,0.056296,0,1,1,4,1,1,115,4,15279.640625
10004,0.202343,0,1,1,4,1,1,115,4,15279.640625
10005,0,0,1,0,4,1,1,115,4,15279.640625
10008,0.5243,0,1,1,4,1,1,115,4,15279.640625
10009,1.035,2.07649,2,2,4,1,2,105,4,15279.640625
10010,0.202343,0,1,1,4,1,1,115,4,15279.640625
10031,0.0133,0.050589001,1,1,4,1,1,111,4,4958.84716796875
10032,0,0,1,0,4,1,1,111,4,4958.84716796875
10033,0.0404686,0,1,1,4,1,1,111,4,4958.84716796875
10034,0.202343,0,1,1,4,1,1,111,4,4958.84716796875
10035,0,0,1,0,4,1,1,111,4,4958.84716796875
10036,0,0,1,0,4,1,1,111,4,4958.84716796875
10037,0.048263,0,1,1,4,1,1,111,4,4958.84716796875
10038,0,0,1,0,4,1,1,111,4,4958.84716796875
10040,0,0,1,0,4,1,1,111,4,4958.84716796875
10051,0,0,1,0,4,1,1,102,4,3545.4638671875
10053,0.1,0,1,1,4,1,1,102,4,3545.4638671875
10054,0,0,1,0,4,1,1,102,4,3545.4638671875
10055,0,0,1,0,4,1,1,102,4,3545.4638671875
10056,0,0,1,0,4,1,1,102,4,3545.4638671875
10057,0.404686,0,1,1,4,1,1,102,4,3545.4638671875
10058,0,0,1,0,4,1,1,102,4,3545.4638671875
10059,0,0,1,0,4,1,1,102,4,3545.4638671875
10060,0,0,1,0,4,1,1,102,4,3545.4638671875
10061,2.832802,0.238304001,6,6,4,1,2,107,4,3131.96923828125
10062,1.821087,0.151612994,3,3,4,1,2,107,4,3131.96923828125
10063,3.00079,0.212291999,3,3,4,1,2,107,4,3131.96923828125
10064,2.221626,0.330436001,3,3,4,1,2,107,4,3131.96923828125
10065,1.214058,0,2,2,4,1,1,102,4,3131.96923828125
10066,0.0665,0.43643,2,2,4,1,2,107,4,3131.96923828125
10067,0.0915,0.381913001,3,3,4,1,2,107,4,3131.96923828125
10068,0.1615,0.22701001,2,2,4,1,2,107,4,3131.96923828125
10069,0.06764,0.171538,2,2,4,1,2,107,4,3131.96923828125
10070,0.238598,0.082028998,3,3,4,1,2,107,4,3131.96923828125
10071,1.214058,0.088534999,4,4,4,1,2,117,4,2226.93994140625
10072,0.607029,0.079981998,3,3,4,1,2,117,4,2226.93994140625
10073,0.404686,0.059421997,2,2,4,1,2,117,4,2226.93994140625
10074,0.404686,0.044973999,2,2,4,1,2,117,4,2226.93994140625
10075,0.173596,0.080860001,3,3,4,1,2,117,4,2226.93994140625
10076,0.141992,0.060506999,3,3,4,1,2,117,4,2226.93994140625
10077,0.677343,0.032717001,2,2,4,1,2,117,4,2226.93994140625
10078,0.529046,0.039978,3,3,4,1,2,117,4,2226.93994140625
10079,0.512986,0.079085,3,3,4,1,2,117,4,2226.93994140625
10080,1.615,0.065217001,3,3,4,1,2,117,4,2226.93994140625
10091,1.618744,0.29609701,3,3,4,1,2,105,4,1866.33715820312
10092,1.214058,0.123414997,3,3,4,1,2,105,4,1866.33715820312
10093,0.4225,0.199436002,5,5,5,3,2,322,4,1866.33715820312
10094,1.214058,0.137134003,2,2,4,1,2,105,4,1866.33715820312
10096,0.182018,0.069601,3,3,4,1,2,105,4,1866.33715820312
10097,0.632686,0.182452,4,4,4,1,2,105,4,1866.33715820312
10098,0.404686,0,1,1,4,1,2,105,4,1866.33715820312
10099,0.404686,0.033014001,1,1,4,1,2,105,4,1866.33715820312
10100,1.618744,0.202065999,4,4,4,1,2,105,4,1866.33715820312
10102,1.615,0.181342004,3,3,4,1,2,108,4,5453.29833984375
10103,0.220769,0.487525012,3,3,4,1,2,108,4,5453.29833984375
10104,0.093772,0.20812,2,2,4,1,2,108,4,5453.29833984375
10105,0.179832,1.07138999,3,3,4,1,2,108,4,5453.29833984375
10106,0.299448,1.33788001,4,4,4,1,2,108,4,5453.29833984375
10107,0.404686,0.33988999,2,2,4,1,2,108,4,5453.29833984375
10108,0.607029,0.038141,2,2,4,1,2,108,4,5453.29833984375
10109,1.214058,0.79930998,3,3,4,1,2,108,4,5453.29833984375
10110,0.809372,0.34051,3,3,4,1,2,108,4,5453.29833984375
19001,0,0,1,0,4,1,1,102,4,3688.921875
19002,0,0,1,0,4,1,1,102,4,3688.921875
19005,0,0,1,0,4,1,1,102,4,3688.921875
19006,0,0,1,0,4,1,1,102,4,3688.921875
19007,0,0,1,0,4,1,1,102,4,3688.921875
19008,0.809372,0.182737002,2,2,4,1,1,102,4,3688.921875
19009,0,0,1,0,4,1,1,102,4,3688.921875
19010,0,0,1,0,4,1,1,102,4,3688.921875
19012,0,0,1,0,4,1,1,102,4,3688.921875
19014,0.025096,0,1,1,4,1,1,102,4,5176.703125
19015,0,0,1,0,4,1,1,102,4,5176.703125
19017,0,0,1,0,4,1,1,102,4,5176.703125
19018,0,0,1,0,4,1,1,102,4,5176.703125
19019,0,0,1,0,4,1,1,102,4,5176.703125
19020,0,0,1,0,4,1,1,102,4,5176.703125
19023,0.010063,0,1,1,4,1,1,102,4,5176.703125
19024,0,0,1,0,4,1,1,102,4,5176.703125
19025,0,0,1,0,4,1,1,102,4,4284.16796875
19026,0,0,1,0,4,1,1,102,4,4284.16796875
19029,0,0,1,0,4,1,1,102,4,4284.16796875
19031,0,0,1,0,4,1,1,102,4,4284.16796875
19032,0,0,1,0,4,1,1,102,4,4284.16796875
19033,0.010098,0,1,1,4,1,1,102,4,4284.16796875
19034,0,0,1,0,4,1,1,102,4,4284.16796875
19035,0.009886,0,1,1,4,1,1,102,4,4284.16796875
19036,0.025,0,1,1,4,1,1,102,4,4284.16796875
19037,0,0,1,0,4,1,2,104,4,1890.3896484375
19038,0.809372,0.025213,2,2,4,1,2,104,4,1890.3896484375
19039,1.214058,0.092751001,2,2,4,1,2,104,4,1890.3896484375
19040,0,0,1,0,4,1,2,104,4,1890.3896484375
19041,0.809372,0.24687,2,2,4,1,2,104,4,1890.3896484375
19043,1.618744,0,4,4,4,1,2,104,4,1890.3896484375
19044,0.809372,0.052518001,2,2,4,1,2,104,4,1890.3896484375
19045,0.532,0.046403,2,2,4,1,2,104,4,1890.3896484375
19047,0.809372,0.238277,2,2,4,1,2,104,4,1890.3896484375
19048,2.114686,0.259133999,4,4,4,1,2,104,4,1890.3896484375
19049,0.209017,0.161454004,2,2,4,1,2,104,4,5403.970703125
19050,0,0,1,0,4,1,2,104,4,5403.970703125
19051,1.618744,0.128370999,3,3,4,1,2,104,4,5403.970703125
19052,0.809372,0.154440001,2,2,4,1,2,104,4,5403.970703125
19054,1.274858,0.094052997,4,4,4,1,2,104,4,5403.970703125
19055,0.866264,0.2504,3,3,4,1,2,104,4,5403.970703125
19056,0.095,0,1,1,4,1,2,104,4,5403.970703125
19058,0.809372,0.2020250002,2,2,4,1,2,104,4,5403.970703125
19060,0.57,0.200302001,2,2,4,1,2,104,4,5403.970703125
19061,0.057402,0.074664001,2,2,4,1,2,107,4,4115.0234375
19062,0.125562,0,3,3,4,1,2,107,4,4115.0234375
19063,0.111565,0.12475,3,3,4,1,2,107,4,4115.0234375
19064,0.3048,0.096085999,4,4,4,1,2,107,4,4115.0234375
19066,0.2255,0,3,3,4,1,2,107,4,4115.0234375
19068,0.3015,0.247164003,3,3,4,1,2,107,4,4115.0234375
19069,0.261,0.27119,3,3,4,1,2,107,4,4115.0234375
19070,0.27899,0.119697,5,5,4,1,2,107,4,4115.0234375
19071,0.20457,0.042689999,4,4,4,1,2,107,4,4115.0234375
19072,1.46673,0.37147,7,7,4,1,2,107,4,4115.0234375
19073,0.1615,0.27522,3,3,4,1,2,107,4,5029.37158203125
19075,0.0532,0.168741,2,2,4,1,2,107,4,5029.37158203125
19076,0.0342,0.029546,2,2,4,1,2,107,4,5029.37158203125
19077,0.258904,0.104565999,5,5,4,1,2,107,4,5029.37158203125
19079,0.09612,0.11048,2,2,4,1,2,107,4,5029.37158203125
19080,0.427486,0.016369,2,2,4,1,2,107,4,5029.37158203125
19081,0.1805,0.26965,2,2,4,1,2,107,4,5029.37158203125
19082,0.437,0.231000999,6,6,4,1,2,107,4,5029.37158203125
19084,0.384532,0.060176001,4,4,4,1,2,107,4,5029.37158203125
19085,0.150095,0.084813,3,3,4,1,2,109,4,3652.97290039062
19087,0.103031,0.081223001,4,4,4,1,2,109,4,3652.97290039062
19088,0.111,0.016314999,3,3,4,1,2,109,4,3652.97290039062
19089,0.399424,0.056340002,4,4,4,1,2,109,4,3652.97290039062
19091,0.4968,0.564262,6,6,4,1,2,109,4,3652.97290039062
19092,0.171,0.028378,2,2,4,1,2,109,4,3652.97290039062
19093,0.342,0.085023999,5,5,4,1,2,109,4,3652.97290039062
19094,0.323,0.194050999,4,4,4,1,2,109,4,3652.97290039062
19095,0.17999,0.042531,4,4,4,1,2,109,4,3652.97290039062
19096,0.135085,0.150902997,4,4,4,1,2,109,4,3652.97290039062
19097,1.996872,0.65997999,4,4,4,1,2,109,4,7128.5556640625
19098,0.969584,0,5,5,4,1,2,109,4,7128.5556640625
19099,0.095,0.073898999,2,2,4,1,2,109,4,7128.5556640625
19100,0.651686,0.32116,3,3,4,1,2,109,4,7128.5556640625
19101,0.499686,0.020509,3,3,4,1,2,109,4,7128.5556640625
19103,0.10466,0,2,2,4,1,2,109,4,7128.5556640625
19104,1.16848,0.28581001,3,3,4,1,2,109,4,7128.5556640625
19105,0.37086,0.219992001,5,5,4,1,2,109,4,7128.5556640625
19106,0.447566,0.0097300003,3,3,4,1,2,109,4,7128.5556640625
19107,0.847372,0.052565997,2,2,4,1,2,109,4,7128.5556640625
19110,0.413368,0.39831001,3,3,4,1,2,109,4,4633.8681640625
19111,0.12602,0.195695001,3,3,4,1,2,109,4,4633.8681640625
19112,0.248516,0.15529,3,3,4,1,2,109,4,4633.8681640625
19113,0.34065,0.34065,2,2,4,1,2,109,4,4633.8681640625
19115,0.18068,0.174743,3,3,4,1,2,109,4,4633.8681640625
19116,0.34495,0.31893,4,4,4,1,2,109,4,4633.8681640625
19117,0.45618,0.387661001,6,6,4,1,2,109,4,4633.8681640625
19118,1.1805,0.12381,3,3,4,1,2,109,4,4633.8681640625
19119,2.2527,0.374,4,4,4,1,2,109,4,4633.8681640625
19120,1.2565,0.491671,4,4,4,1,2,109,4,4633.8681640625
19121,1.214058,0.162295001,3,3,4,1,2,110,4,2239.759765625
19122,2.02343,0.164279999,3,3,4,1,2,110,4,2239.759765625
19123,0.809372,0.038726999,2,2,4,1,2,110,4,2239.759765625
19124,1.214058,0.221549001,3,3,4,1,2,110,4,2239.759765625
19125,1.126686,0.036716,3,3,4,1,2,110,4,2239.759765625
19126,1.214058,0.151621999,3,3,4,1,2,110,4,2239.759765625
19127,1.214058,0.123029999,3,3,4,1,2,110,4,2239.759765625
19129,2.02343,0.098436999,4,4,4,1,2,110,4,2239.759765625
19130,1.069686,0.164043,3,3,4,1,2,110,4,2239.759765625
19131,1.618744,0.11943,3,3,4,1,2,110,4,2239.759765625
19133,1.342343,0.177701997,3,3,4,1,2,111,4,5772.70556640625
19135,1.164686,0.059069,2,2,4,1,2,111,4,5772.70556640625
19136,0.167669,0.067531,3,3,4,1,2,111,4,5772.70556640625
19137,0.457358,0.25195,2,2,4,1,2,111,4,5772.70556640625
19138,0.468975,0.29563,2,2,4,1,2,111,4,5772.70556640625
19139,0.119182,0.016600999,2,2,4,1,2,111,4,5772.70556640625
