"identifiant_menage","nb_parcelles","nb_parcelles_valides","superficie_totale_ha","poids_menage","etat","region","zone_residence","log1p_tot_ha"
10001,1,0,NA,15279.640625,"Abia","South East","Urbain",NA
10002,1,1,0.202343,15279.640625,"Abia","South East","Urbain",0.184272153143345
10003,1,1,0.056296,15279.640625,"Abia","South East","Urbain",0.0547684490368179
10004,1,1,0.202343,15279.640625,"Abia","South East","Urbain",0.184272153143345
10005,1,0,NA,15279.640625,"Abia","South East","Urbain",NA
10008,1,1,0.5243,15279.640625,"Abia","South East","Urbain",0.421535288285659
10009,2,2,1.035,15279.640625,"Abia","South East","Rural",0.710495818894558
10010,1,1,0.202343,15279.640625,"Abia","South East","Urbain",0.184272153143345
10031,1,1,0.0133,4958.84716796875,"Abia","South East","Urbain",0.0132123314721348
10032,1,0,NA,4958.84716796875,"Abia","South East","Urbain",NA
10033,1,1,0.0404686,4958.84716796875,"Abia","South East","Urbain",0.0396711885970581
10034,1,1,0.202343,4958.84716796875,"Abia","South East","Urbain",0.184272153143345
10035,1,0,NA,4958.84716796875,"Abia","South East","Urbain",NA
10036,1,0,NA,4958.84716796875,"Abia","South East","Urbain",NA
10037,1,1,0.048263,4958.84716796875,"Abia","South East","Urbain",0.047134508613586
10038,1,0,NA,4958.84716796875,"Abia","South East","Urbain",NA
10040,1,0,NA,4958.84716796875,"Abia","South East","Urbain",NA
10051,1,0,NA,3545.4638671875,"Abia","South East","Urbain",NA
10053,1,1,0.1,3545.4638671875,"Abia","South East","Urbain",0.0953101798043249
10054,1,0,NA,3545.4638671875,"Abia","South East","Urbain",NA
10055,1,0,NA,3545.4638671875,"Abia","South East","Urbain",NA
10056,1,0,NA,3545.4638671875,"Abia","South East","Urbain",NA
10057,1,1,0.404686,3545.4638671875,"Abia","South East","Urbain",0.339813790264162
10058,1,0,NA,3545.4638671875,"Abia","South East","Urbain",NA
10059,1,0,NA,3545.4638671875,"Abia","South East","Urbain",NA
10060,1,0,NA,3545.4638671875,"Abia","South East","Urbain",NA
10061,6,6,2.832802,3131.96923828125,"Abia","South East","Rural",1.34359612839837
10062,3,3,1.821087,3131.96923828125,"Abia","South East","Rural",1.03712227167193
10063,3,3,3.00079,3131.96923828125,"Abia","South East","Rural",1.38649184161933
10064,3,3,2.221626,3131.96923828125,"Abia","South East","Rural",1.1698862010465
10065,2,2,1.214058,3131.96923828125,"Abia","South East","Urbain",0.794827030871948
10066,2,2,0.0665,3131.96923828125,"Abia","South East","Rural",0.0643822589292682
10067,3,3,0.0915,3131.96923828125,"Abia","South East","Rural",0.0875528970078615
10068,2,2,0.1615,3131.96923828125,"Abia","South East","Rural",0.149712273228327
10069,2,2,0.06764,3131.96923828125,"Abia","South East","Rural",0.0654506050625392
10070,3,3,0.238598,3131.96923828125,"Abia","South East","Rural",0.213980094794216
10071,4,4,1.214058,2226.93994140625,"Abia","South East","Rural",0.794827030871948
10072,3,3,0.607029,2226.93994140625,"Abia","South East","Rural",0.474387132641085
10073,2,2,0.404686,2226.93994140625,"Abia","South East","Rural",0.339813790264162
10074,2,2,0.404686,2226.93994140625,"Abia","South East","Rural",0.339813790264162
10075,3,3,0.173596,2226.93994140625,"Abia","South East","Rural",0.160072539524535
10076,3,3,0.141992,2226.93994140625,"Abia","South East","Rural",0.132774105955341
10077,2,2,0.677343,2226.93994140625,"Abia","South East","Rural",0.51721099382948
10078,3,3,0.529046,2226.93994140625,"Abia","South East","Rural",0.424644011517271
10079,3,3,0.512986,2226.93994140625,"Abia","South East","Rural",0.41408518162395
10080,3,3,1.615,2226.93994140625,"Abia","South East","Rural",0.961264097516886
10091,3,3,1.618744,1866.33715820312,"Abia","South East","Rural",0.962694813516235
10092,3,3,1.214058,1866.33715820312,"Abia","South East","Rural",0.794827030871948
10093,5,5,0.4225,1866.33715820312,"Akwa Ibom","South South","Rural",0.352415887018349
10094,2,2,1.214058,1866.33715820312,"Abia","South East","Rural",0.794827030871948
