"etat","superficie_mediane_ha","superficie_moyenne_ha","n_parcelles"
"Abia",0.12177,0.260225812784588,571
"Adamawa",0.809372,0.889034336740331,724
"Akwa Ibom",0.052433,0.382277232960894,716
"Anambra",0.095,0.275523915561358,383
"Bauchi",0.404686,0.749350690502793,895
"Bayelsa",0.039,0.112903573239437,142
"Benue",0.261,0.510104511857708,506
"Borno",0.809372,0.974313125,128
"Cross River",0.21,0.396726175141243,177
"Delta",0.404686,0.587348483928571,168
"Ebonyi",0.057,0.127321876363636,275
"Edo",0.105,0.389254548387097,279
"Ekiti",0.3237488,0.520015661081081,185
"Enugu",0.0855,0.269827139593909,394
"FCT",0.8,1.03037776245211,261
"Gombe",0.0893,1.54084171563981,633
"Imo",0.494,0.699474367957746,284
"Jigawa",0.404686,0.722734845333333,375
"Kaduna",0.2964,0.420827387126866,536
"Kano",0.38532,0.605331247956403,367
"Katsina",1.214058,1.95818353529412,85
"Kebbi",0.24,0.574687544827586,145
"Kogi",0.52292875,0.982632965555556,360
"Kwara",0.0648,0.226421558297872,47
"Lagos",0.404686,0.541058361111111,108
"Nasarawa",1.618744,2.17813282508475,118
"Niger",0.404686,0.598299079130435,115
"Ogun",0.492,0.807258776923077,156
"Ondo",0.404686,0.665710625324675,154
"Osun",0.607029,0.714790102857143,175
"Oyo",0.404686,0.75302704735376,359
"Plateau",0.0953435,0.160975352713178,258
"Rivers",0.809372,0.9688874,240
"Sokoto",0.404686,0.834753312195122,205
"Taraba",0.404686,0.957649835877863,131
"Yobe",0.494,0.69360974522293,157
"Zamfara",0.404686,0.875774729166667,144
