"state","statistic","vague","state_label"
1,0.37086,"Vague 4","1. Abia"
2,2.4,"Vague 4","2. Adamawa"
3,0.221,"Vague 4","3. Akwa Ibom"
4,0.2,"Vague 4","4. Anambra"
5,2.05,"Vague 4","5. Bauchi"
6,0.16082,"Vague 4","6. Bayelsa"
7,0.924,"Vague 4","7. Benue"
8,2.4,"Vague 4","8. Borno"
9,0.6825,"Vague 4","9. Cross River"
10,0.8,"Vague 4","10. Delta"
11,0.228,"Vague 4","11. Ebonyi"
12,0.2,"Vague 4","12. Edo"
13,0.48,"Vague 4","13. Ekiti"
14,0.504,"Vague 4","14. Enugu"
15,1.6,"Vague 4","15. Gombe"
16,0.304,"Vague 4","16. Imo"
17,1.3923,"Vague 4","17. Jigawa"
18,1.2,"Vague 4","18. Kaduna"
19,1.09067,"Vague 4","19. Kano"
20,1.0898,"Vague 4","20. Katsina"
21,1,"Vague 4","21. Kebbi"
22,0.88,"Vague 4","22. Kogi"
23,1.44,"Vague 4","23. Kwara"
24,0.0648,"Vague 4","24. Lagos"
25,1.98605,"Vague 4","25. Nasarawa"
26,2.4,"Vague 4","26. Niger"
27,0.52,"Vague 4","27. Ogun"
28,1.02,"Vague 4","28. Ondo"
29,1.2,"Vague 4","29. Osun"
30,1,"Vague 4","30. Oyo"
31,2.8,"Vague 4","31. Plateau"
32,0.405,"Vague 4","32. Rivers"
33,2.4,"Vague 4","33. Sokoto"
34,1.10787,"Vague 4","34. Taraba"
35,1.005,"Vague 4","35. Yobe"
36,1.981,"Vague 4","36. Zamfara"
37,0.8,"Vague 4","37. FCT"
