"hhid","nombre_parcelle","superficie_totale_menage","wt_wave4","secteur","state","state_label","zone"
10001,1,0.052652,15279.640625,"Urbain",1,"1. Abia","4. South East"
10002,1,0.2,15279.640625,"Urbain",1,"1. Abia","4. South East"
10003,1,0.056296,15279.640625,"Urbain",1,"1. Abia","4. South East"
10004,1,0.2,15279.640625,"Urbain",1,"1. Abia","4. South East"
10008,1,0.5243,15279.640625,"Urbain",1,"1. Abia","4. South East"
10009,2,1.035,15279.640625,"Rural",1,"1. Abia","4. South East"
10010,1,0.2,15279.640625,"Urbain",1,"1. Abia","4. South East"
10031,1,0.0133,4958.84716796875,"Urbain",1,"1. Abia","4. South East"
10033,1,0.04,4958.84716796875,"Urbain",1,"1. Abia","4. South East"
10034,1,0.2,4958.84716796875,"Urbain",1,"1. Abia","4. South East"
10037,1,0.048263,4958.84716796875,"Urbain",1,"1. Abia","4. South East"
10053,1,0.1,3545.4638671875,"Urbain",1,"1. Abia","4. South East"
10057,1,0.4,3545.4638671875,"Urbain",1,"1. Abia","4. South East"
10061,6,2.8,3131.96923828125,"Rural",1,"1. Abia","4. South East"
10062,3,1.8,3131.96923828125,"Rural",1,"1. Abia","4. South East"
10063,3,3.00079,3131.96923828125,"Rural",1,"1. Abia","4. South East"
10064,3,2.221626,3131.96923828125,"Rural",1,"1. Abia","4. South East"
10065,2,1.2,3131.96923828125,"Urbain",1,"1. Abia","4. South East"
10066,2,0.0665,3131.96923828125,"Rural",1,"1. Abia","4. South East"
10067,3,0.0915,3131.96923828125,"Rural",1,"1. Abia","4. South East"
10068,2,0.1615,3131.96923828125,"Rural",1,"1. Abia","4. South East"
10069,2,0.06764,3131.96923828125,"Rural",1,"1. Abia","4. South East"
10070,3,0.238598,3131.96923828125,"Rural",1,"1. Abia","4. South East"
10071,4,1.2,2226.93994140625,"Rural",1,"1. Abia","4. South East"
10072,3,0.6,2226.93994140625,"Rural",1,"1. Abia","4. South East"
10073,2,0.4,2226.93994140625,"Rural",1,"1. Abia","4. South East"
10074,2,0.4,2226.93994140625,"Rural",1,"1. Abia","4. South East"
10075,3,0.173596,2226.93994140625,"Rural",1,"1. Abia","4. South East"
10076,3,0.141992,2226.93994140625,"Rural",1,"1. Abia","4. South East"
10077,2,0.675,2226.93994140625,"Rural",1,"1. Abia","4. South East"
10078,3,0.52436,2226.93994140625,"Rural",1,"1. Abia","4. South East"
10079,3,0.5083,2226.93994140625,"Rural",1,"1. Abia","4. South East"
10080,3,1.615,2226.93994140625,"Rural",1,"1. Abia","4. South East"
10091,3,1.6,1866.33715820312,"Rural",1,"1. Abia","4. South East"
10092,3,1.2,1866.33715820312,"Rural",1,"1. Abia","4. South East"
10093,5,0.4225,1866.33715820312,"Rural",3,"3. Akwa Ibom","5. South South"
10094,2,1.2,1866.33715820312,"Rural",1,"1. Abia","4. South East"
10096,3,0.182018,1866.33715820312,"Rural",1,"1. Abia","4. South East"
10097,4,0.628,1866.33715820312,"Rural",1,"1. Abia","4. South East"
10098,1,0.4,1866.33715820312,"Rural",1,"1. Abia","4. South East"
10099,1,0.4,1866.33715820312,"Rural",1,"1. Abia","4. South East"
10100,4,1.6,1866.33715820312,"Rural",1,"1. Abia","4. South East"
10102,3,1.615,5453.29833984375,"Rural",1,"1. Abia","4. South East"
10103,3,0.220769,5453.29833984375,"Rural",1,"1. Abia","4. South East"
10104,2,0.093772,5453.29833984375,"Rural",1,"1. Abia","4. South East"
10105,3,0.179832,5453.29833984375,"Rural",1,"1. Abia","4. South East"
10106,4,0.299448,5453.29833984375,"Rural",1,"1. Abia","4. South East"
10107,2,0.4,5453.29833984375,"Rural",1,"1. Abia","4. South East"
10108,2,0.6,5453.29833984375,"Rural",1,"1. Abia","4. South East"
10109,3,1.2,5453.29833984375,"Rural",1,"1. Abia","4. South East"
10110,3,0.8,5453.29833984375,"Rural",1,"1. Abia","4. South East"
19008,2,0.8,3688.921875,"Urbain",1,"1. Abia","4. South East"
19014,1,0.025096,5176.703125,"Urbain",1,"1. Abia","4. South East"
19023,1,0.010063,5176.703125,"Urbain",1,"1. Abia","4. South East"
19033,1,0.010098,4284.16796875,"Urbain",1,"1. Abia","4. South East"
19035,1,0.009886,4284.16796875,"Urbain",1,"1. Abia","4. South East"
19036,1,0.025,4284.16796875,"Urbain",1,"1. Abia","4. South East"
19038,2,0.8,1890.3896484375,"Rural",1,"1. Abia","4. South East"
19039,2,1.2,1890.3896484375,"Rural",1,"1. Abia","4. South East"
19041,2,0.8,1890.3896484375,"Rural",1,"1. Abia","4. South East"
19043,4,1.6,1890.3896484375,"Rural",1,"1. Abia","4. South East"
19044,2,0.8,1890.3896484375,"Rural",1,"1. Abia","4. South East"
19045,2,0.532,1890.3896484375,"Rural",1,"1. Abia","4. South East"
19047,2,0.8,1890.3896484375,"Rural",1,"1. Abia","4. South East"
19048,4,2.11,1890.3896484375,"Rural",1,"1. Abia","4. South East"
19049,2,0.209017,5403.970703125,"Rural",1,"1. Abia","4. South East"
19051,3,1.6,5403.970703125,"Rural",1,"1. Abia","4. South East"
19052,2,0.8,5403.970703125,"Rural",1,"1. Abia","4. South East"
19054,4,1.2608,5403.970703125,"Rural",1,"1. Abia","4. South East"
19055,3,0.856892,5403.970703125,"Rural",1,"1. Abia","4. South East"
19056,1,0.095,5403.970703125,"Rural",1,"1. Abia","4. South East"
19058,2,0.8,5403.970703125,"Rural",1,"1. Abia","4. South East"
19060,2,0.57,5403.970703125,"Rural",1,"1. Abia","4. South East"
19061,2,0.057402,4115.0234375,"Rural",1,"1. Abia","4. South East"
19062,3,0.125562,4115.0234375,"Rural",1,"1. Abia","4. South East"
19063,3,0.111565,4115.0234375,"Rural",1,"1. Abia","4. South East"
19064,4,0.3048,4115.0234375,"Rural",1,"1. Abia","4. South East"
19066,3,0.2255,4115.0234375,"Rural",1,"1. Abia","4. South East"
19068,3,0.3015,4115.0234375,"Rural",1,"1. Abia","4. South East"
19069,3,0.261,4115.0234375,"Rural",1,"1. Abia","4. South East"
19070,5,0.27899,4115.0234375,"Rural",1,"1. Abia","4. South East"
19071,4,0.20457,4115.0234375,"Rural",1,"1. Abia","4. South East"
19072,7,1.46673,4115.0234375,"Rural",1,"1. Abia","4. South East"
19073,3,0.1615,5029.37158203125,"Rural",1,"1. Abia","4. South East"
19075,2,0.0532,5029.37158203125,"Rural",1,"1. Abia","4. South East"
19076,2,0.0342,5029.37158203125,"Rural",1,"1. Abia","4. South East"
19077,5,0.258904,5029.37158203125,"Rural",1,"1. Abia","4. South East"
19079,2,0.09612,5029.37158203125,"Rural",1,"1. Abia","4. South East"
19080,2,0.4228,5029.37158203125,"Rural",1,"1. Abia","4. South East"
19081,2,0.1805,5029.37158203125,"Rural",1,"1. Abia","4. South East"
19082,6,0.437,5029.37158203125,"Rural",1,"1. Abia","4. South East"
19084,4,0.384532,5029.37158203125,"Rural",1,"1. Abia","4. South East"
19085,3,0.150095,3652.97290039062,"Rural",1,"1. Abia","4. South East"
19087,4,0.103031,3652.97290039062,"Rural",1,"1. Abia","4. South East"
19088,3,0.111,3652.97290039062,"Rural",1,"1. Abia","4. South East"
19089,4,0.399424,3652.97290039062,"Rural",1,"1. Abia","4. South East"
19091,6,0.4968,3652.97290039062,"Rural",1,"1. Abia","4. South East"
19092,2,0.171,3652.97290039062,"Rural",1,"1. Abia","4. South East"
19093,5,0.342,3652.97290039062,"Rural",1,"1. Abia","4. South East"
19094,4,0.323,3652.97290039062,"Rural",1,"1. Abia","4. South East"
19095,4,0.17999,3652.97290039062,"Rural",1,"1. Abia","4. South East"
19096,4,0.135085,3652.97290039062,"Rural",1,"1. Abia","4. South East"
19097,4,1.9875,7128.5556640625,"Rural",1,"1. Abia","4. South East"
19098,5,0.960212,7128.5556640625,"Rural",1,"1. Abia","4. South East"
19099,2,0.095,7128.5556640625,"Rural",1,"1. Abia","4. South East"
19100,3,0.647,7128.5556640625,"Rural",1,"1. Abia","4. South East"
19101,3,0.495,7128.5556640625,"Rural",1,"1. Abia","4. South East"
19103,2,0.10466,7128.5556640625,"Rural",1,"1. Abia","4. South East"
19104,3,1.16848,7128.5556640625,"Rural",1,"1. Abia","4. South East"
19105,5,0.37086,7128.5556640625,"Rural",1,"1. Abia","4. South East"
19106,3,0.44288,7128.5556640625,"Rural",1,"1. Abia","4. South East"
19107,2,0.838,7128.5556640625,"Rural",1,"1. Abia","4. South East"
19110,3,0.413368,4633.8681640625,"Rural",1,"1. Abia","4. South East"
19111,3,0.12602,4633.8681640625,"Rural",1,"1. Abia","4. South East"
19112,3,0.248516,4633.8681640625,"Rural",1,"1. Abia","4. South East"
19113,2,0.34065,4633.8681640625,"Rural",1,"1. Abia","4. South East"
19115,3,0.18068,4633.8681640625,"Rural",1,"1. Abia","4. South East"
19116,4,0.34495,4633.8681640625,"Rural",1,"1. Abia","4. South East"
19117,6,0.45618,4633.8681640625,"Rural",1,"1. Abia","4. South East"
19118,3,1.1805,4633.8681640625,"Rural",1,"1. Abia","4. South East"
19119,4,2.2527,4633.8681640625,"Rural",1,"1. Abia","4. South East"
19120,4,1.2565,4633.8681640625,"Rural",1,"1. Abia","4. South East"
19121,3,1.2,2239.759765625,"Rural",1,"1. Abia","4. South East"
19122,3,2,2239.759765625,"Rural",1,"1. Abia","4. South East"
19123,2,0.8,2239.759765625,"Rural",1,"1. Abia","4. South East"
19124,3,1.2,2239.759765625,"Rural",1,"1. Abia","4. South East"
19125,3,1.122,2239.759765625,"Rural",1,"1. Abia","4. South East"
19126,3,1.2,2239.759765625,"Rural",1,"1. Abia","4. South East"
19127,3,1.2,2239.759765625,"Rural",1,"1. Abia","4. South East"
19129,4,2,2239.759765625,"Rural",1,"1. Abia","4. South East"
19130,3,1.065,2239.759765625,"Rural",1,"1. Abia","4. South East"
19131,3,1.6,2239.759765625,"Rural",1,"1. Abia","4. South East"
19133,3,1.34,5772.70556640625,"Rural",1,"1. Abia","4. South East"
19135,2,1.16,5772.70556640625,"Rural",1,"1. Abia","4. South East"
19136,3,0.167669,5772.70556640625,"Rural",1,"1. Abia","4. South East"
19137,2,0.452672,5772.70556640625,"Rural",1,"1. Abia","4. South East"
19138,2,0.464289,5772.70556640625,"Rural",1,"1. Abia","4. South East"
19139,2,0.119182,5772.70556640625,"Rural",1,"1. Abia","4. South East"
19140,2,0.4,5772.70556640625,"Rural",1,"1. Abia","4. South East"
19141,3,1.2,5772.70556640625,"Rural",1,"1. Abia","4. South East"
19143,4,1,5772.70556640625,"Rural",1,"1. Abia","4. South East"
19144,2,0.8,5772.70556640625,"Rural",1,"1. Abia","4. South East"
