"hhid","cropcode","crop_name","superficie_ha","prod_kg","rendement_kg_ha","state"
10009,1080,"Maïs",0.009,90,10000,1
10031,1080,"Maïs",9e-04,9,10000,1
10061,1080,"Maïs",0.009,90,10000,1
10063,1080,"Maïs",0.0126,126,10000,1
10065,1080,"Maïs",0.0153,153,10000,1
10068,1080,"Maïs",0.0288,288,10000,1
10069,1080,"Maïs",0.0063,63,10000,1
10071,1080,"Maïs",0.0288,288,10000,1
10072,1080,"Maïs",0.0288,288,10000,1
10073,1080,"Maïs",0.00419536800384521,41.9536800384521,10000,1
10074,1080,"Maïs",9e-04,9,10000,1
10075,1080,"Maïs",0.0018,18,10000,1
10076,1080,"Maïs",0.0027,27,10000,1
10077,1080,"Maïs",0.005,50,10000,1
10079,1080,"Maïs",0.00349614000320435,34.9614000320435,10000,1
10080,1080,"Maïs",0.00559382400512695,55.9382400512695,10000,1
10091,1080,"Maïs",0.0126,126,10000,1
10092,1080,"Maïs",0.0117,117,10000,1
10093,1080,"Maïs",0.00346500010490417,34.6500010490417,10000,3
10096,1080,"Maïs",0.0027,27,10000,1
10097,1080,"Maïs",0.01,100,10000,1
10099,1080,"Maïs",9e-04,9,10000,1
10100,1080,"Maïs",0.0036,36,10000,1
10102,1080,"Maïs",0.0045,45,10000,1
10103,1080,"Maïs",0.018,180,10000,1
10104,1080,"Maïs",0.009,90,10000,1
10105,1080,"Maïs",0.00189831604957581,18.9831604957581,10000,1
10106,1080,"Maïs",0.0144,144,10000,1
10107,1080,"Maïs",0.0054,54,10000,1
10108,1080,"Maïs",0.0144,144,10000,1
10109,1080,"Maïs",0.00349614000320435,34.9614000320435,10000,1
19008,1080,"Maïs",0.00139845600128174,13.9845600128174,10000,1
19038,1080,"Maïs",0.0126,126,10000,1
19039,1080,"Maïs",0.00696049218177795,69.6049218177795,10000,1
19041,1080,"Maïs",0.00649728012084961,64.9728012084961,10000,1
19043,1080,"Maïs",0.000843696022033691,8.43696022033691,10000,1
19044,1080,"Maïs",0.0036,36,10000,1
19045,1080,"Maïs",0.00379663209915161,37.9663209915161,10000,1
19049,1080,"Maïs",0.0027,27,10000,1
19052,1080,"Maïs",0.027,270,10000,1
19054,1080,"Maïs",0.027,270,10000,1
19056,1080,"Maïs",0.000632772016525269,6.32772016525269,10000,1
19058,1080,"Maïs",0.009,90,10000,1
19060,1080,"Maïs",0.0036,36,10000,1
19061,1080,"Maïs",0.0108,108,10000,1
19062,1080,"Maïs",0.0144,144,10000,1
19063,1080,"Maïs",0.0036,36,10000,1
19064,1080,"Maïs",0.0315,315,10000,1
19068,1080,"Maïs",0.0072,72,10000,1
19069,1080,"Maïs",0.0126,126,10000,1
19070,1080,"Maïs",0.0387,387,10000,1
19071,1080,"Maïs",0.0108,108,10000,1
