"cropcode_num","n_obs","crop_name","crop_type"
1020,2989,"CASSAVA","Tubercule"
1080,2712,"MAIZE","Céréale"
1070,1556,"GUINEA CORN (SORGHUM)","Autre"
1010,1121,"BEANS/COWPEA","Légumineuse"
1100,1028,"MILLET/MAIWA","Céréale"
1121,962,"YAM, WHITE","Tubercule"
1060,733,"GROUND NUT/PEANUTS","Légumineuse"
1110,627,"RICE","Céréale"
1040,350,"COCOYAM","Tubercule"
2220,283,"SOYA BEANS","Légumineuse"
2170,271,"PLANTAIN","Autre"
2120,262,"OKRO","Autre"
1123,256,"WATER YAM","Tubercule"
2190,240,"PUMPKIN","Culture de rente"
3180,236,"OIL PALM TREE","Culture de rente"
