"g","n","n_oui","taux","se","ic_low","ic_high","intrant","intrant_lib"
"Rural",7277,2505,0.344235261783702,0.0055696194198637,0.333318807720769,0.355151715846635,"engrais_inorg","Engrais chimique (total)"
"Urbain",1015,283,0.278817733990148,0.0140750418527057,0.251230651958845,0.306404816021451,"engrais_inorg","Engrais chimique (total)"
"Rural",2505,1886,0.752894211576846,0.00861796197271975,0.736003006110316,0.769785417043377,"engrais_npk","NPK"
"Urbain",283,239,0.84452296819788,0.0215399968489982,0.802304574373844,0.886741362021916,"engrais_npk","NPK"
"Rural",2505,1392,0.555688622754491,0.00992785909176753,0.536230018934627,0.575147226574355,"engrais_uree","Urée"
"Urbain",283,146,0.515901060070671,0.0297068811131729,0.457675573088853,0.57412654705249,"engrais_uree","Urée"
"Rural",7277,1526,0.209701800192387,0.00477221924982803,0.200348250462724,0.21905534992205,"engrais_org","Engrais organique"
"Urbain",1015,102,0.100492610837438,0.00943705337269673,0.0819959862269528,0.118989235447924,"engrais_org","Engrais organique"
"Rural",7277,940,0.129174110210251,0.00393167144192942,0.12146803418407,0.136880186236433,"pesticide","Pesticide"
"Urbain",1015,148,0.145812807881773,0.011077489398274,0.124100928661156,0.16752468710239,"pesticide","Pesticide"
