"crop_name","crop_type","n_menages","proportion"
"Maïs","Céréale",1797,50.7883979455565
"Sorgho","Céréale",1001,30.6549570033976
"Mil","Céréale",619,21.0000834545725
"Niébé / Haricot","Légumineuse",653,20.8002341008371
"Manioc","Tubercule",604,20.6028043825615
"Igname blanche","Tubercule",708,20.1417974310555
"Arachide","Légumineuse",594,18.2571034071656
"Riz","Céréale",500,14.3732102102993
"Soja","Légumineuse",215,8.40912900309327
"Plantain","Rente",162,6.03099183385514
"Gombo","Légumineuse",207,5.9071008878791
"Macabo / Colocase","Tubercule",175,5.10085650854699
"Igname d'eau","Tubercule",158,5.08778123405961
"Citrouille","Rente",169,4.53454463254909
"Palme","Rente",134,3.96517784720226
