"hhid","zone","state","lga","sector","ea","area_type","wt_wave4","used_inorganic","used_npk","used_urea","used_organic","used_pesticide","used_herbicide","used_any_fertilizer","n_plots"
10009,4,1,105,2,0,"rural",15279.640625,1,1,0,1,1,1,1,2
10031,4,1,111,1,1146,"urban",4958.84716796875,2,0,0,2,2,2,0,1
10061,4,1,107,2,1044,"rural",3131.96923828125,1,1,1,2,2,2,1,6
10062,4,1,107,2,1044,"rural",3131.96923828125,1,0,1,2,2,2,1,3
10063,4,1,107,2,1044,"rural",3131.96923828125,1,1,0,2,2,2,1,3
10064,4,1,107,2,1044,"rural",3131.96923828125,1,1,0,2,2,2,1,3
10065,4,1,102,1,0,"urban",3131.96923828125,1,1,1,2,2,2,1,2
10066,4,1,107,2,1044,"rural",3131.96923828125,1,0,1,2,2,2,1,2
10067,4,1,107,2,1044,"rural",3131.96923828125,1,0,1,1,2,2,1,3
10068,4,1,107,2,1044,"rural",3131.96923828125,1,1,1,2,2,2,1,2
10069,4,1,107,2,1044,"rural",3131.96923828125,1,1,1,1,1,2,1,2
10070,4,1,107,2,0,"rural",3131.96923828125,1,1,1,2,2,2,1,2
10071,4,1,117,2,560,"rural",2226.93994140625,2,0,0,2,2,2,0,3
10072,4,1,117,2,560,"rural",2226.93994140625,2,0,0,2,2,2,0,2
10073,4,1,117,2,560,"rural",2226.93994140625,2,0,0,2,2,1,0,1
10074,4,1,117,2,560,"rural",2226.93994140625,2,0,0,2,2,2,0,1
10075,4,1,117,2,560,"rural",2226.93994140625,2,0,0,2,2,2,0,2
10076,4,1,117,2,560,"rural",2226.93994140625,2,0,0,2,2,2,0,2
10077,4,1,117,2,560,"rural",2226.93994140625,2,0,0,2,2,2,0,1
10078,4,1,117,2,560,"rural",2226.93994140625,2,0,0,2,2,2,0,1
10079,4,1,117,2,560,"rural",2226.93994140625,2,0,0,2,2,2,0,2
10080,4,1,117,2,560,"rural",2226.93994140625,2,0,0,2,2,2,0,2
10091,4,1,105,2,638,"rural",1866.33715820312,2,0,0,2,2,2,0,2
10092,4,1,105,2,638,"rural",1866.33715820312,2,0,0,2,2,2,0,2
10093,5,3,322,2,0,"rural",1866.33715820312,2,0,0,2,2,2,0,5
10094,4,1,105,2,638,"rural",1866.33715820312,2,0,0,2,2,2,0,2
10096,4,1,105,2,638,"rural",1866.33715820312,2,0,0,2,2,2,0,2
10097,4,1,105,2,638,"rural",1866.33715820312,2,0,0,2,2,2,0,3
10099,4,1,105,2,638,"rural",1866.33715820312,2,0,0,2,2,2,0,1
10100,4,1,105,2,638,"rural",1866.33715820312,2,0,0,2,2,2,0,3
10102,4,1,108,2,904,"rural",5453.29833984375,2,0,0,2,2,2,0,2
10103,4,1,108,2,904,"rural",5453.29833984375,2,0,0,2,2,2,0,2
10104,4,1,108,2,904,"rural",5453.29833984375,2,0,0,2,2,1,0,1
10105,4,1,108,2,904,"rural",5453.29833984375,2,0,0,2,2,2,0,2
10106,4,1,108,2,904,"rural",5453.29833984375,2,0,0,2,2,2,0,3
10107,4,1,108,2,904,"rural",5453.29833984375,2,0,0,2,2,2,0,1
10108,4,1,108,2,904,"rural",5453.29833984375,2,0,0,2,2,2,0,1
10109,4,1,108,2,904,"rural",5453.29833984375,2,0,0,2,2,2,0,2
10110,4,1,108,2,904,"rural",5453.29833984375,2,0,0,2,2,2,0,2
19008,4,1,102,1,46,"urban",3688.921875,2,0,0,2,2,2,0,2
19038,4,1,104,2,412,"rural",1890.3896484375,2,0,0,2,2,2,0,1
19039,4,1,104,2,412,"rural",1890.3896484375,2,0,0,2,2,2,0,2
19041,4,1,104,2,412,"rural",1890.3896484375,2,0,0,2,2,2,0,2
19043,4,1,104,2,412,"rural",1890.3896484375,2,0,0,2,2,1,0,4
19044,4,1,104,2,412,"rural",1890.3896484375,2,0,0,2,2,2,0,2
19045,4,1,104,2,412,"rural",1890.3896484375,2,0,0,2,2,2,0,2
19047,4,1,104,2,412,"rural",1890.3896484375,2,0,0,2,2,2,0,2
19048,4,1,104,2,412,"rural",1890.3896484375,2,0,0,2,2,2,0,3
19049,4,1,104,2,1020,"rural",5403.970703125,2,0,0,2,2,2,0,2
19051,4,1,104,2,1020,"rural",5403.970703125,2,0,0,2,2,2,0,2
19052,4,1,104,2,1020,"rural",5403.970703125,2,0,0,2,2,2,0,2
19054,4,1,104,2,1020,"rural",5403.970703125,2,0,0,2,2,2,0,2
19055,4,1,104,2,1020,"rural",5403.970703125,2,0,0,2,2,2,0,2
19056,4,1,104,2,1020,"rural",5403.970703125,2,0,0,2,2,2,0,1
19058,4,1,104,2,1020,"rural",5403.970703125,2,0,0,2,2,2,0,2
19060,4,1,104,2,1020,"rural",5403.970703125,2,0,0,2,2,2,0,2
19061,4,1,107,2,10,"rural",4115.0234375,1,1,1,1,1,2,1,1
19062,4,1,107,2,10,"rural",4115.0234375,1,1,1,2,2,2,1,2
19063,4,1,107,2,10,"rural",4115.0234375,1,1,1,1,2,2,1,2
19064,4,1,107,2,10,"rural",4115.0234375,1,1,1,1,2,2,1,3
19066,4,1,107,2,10,"rural",4115.0234375,1,1,1,2,2,2,1,2
19068,4,1,107,2,10,"rural",4115.0234375,1,1,1,1,1,1,1,2
19069,4,1,107,2,10,"rural",4115.0234375,1,1,1,2,1,2,1,2
19070,4,1,107,2,10,"rural",4115.0234375,1,1,1,2,2,2,1,4
19071,4,1,107,2,10,"rural",4115.0234375,1,1,1,2,2,2,1,3
19072,4,1,107,2,10,"rural",4115.0234375,1,1,1,2,2,2,1,6
19073,4,1,107,2,1322,"rural",5029.37158203125,1,1,1,1,1,2,1,3
19075,4,1,107,2,1322,"rural",5029.37158203125,1,1,0,2,2,2,1,2
19076,4,1,107,2,1322,"rural",5029.37158203125,1,1,1,2,2,2,1,2
19077,4,1,107,2,1322,"rural",5029.37158203125,1,1,0,2,2,2,1,2
19079,4,1,107,2,1322,"rural",5029.37158203125,1,1,0,2,2,2,1,1
19080,4,1,107,2,1322,"rural",5029.37158203125,1,1,1,1,2,2,1,2
19081,4,1,107,2,1322,"rural",5029.37158203125,1,1,1,1,1,2,1,2
19082,4,1,107,2,1322,"rural",5029.37158203125,1,1,1,2,2,2,1,6
19084,4,1,107,2,1322,"rural",5029.37158203125,1,1,1,1,2,2,1,3
19085,4,1,109,2,1214,"rural",3652.97290039062,1,1,1,2,2,2,1,2
19087,4,1,109,2,1214,"rural",3652.97290039062,2,0,1,2,2,2,0,3
19088,4,1,109,2,1214,"rural",3652.97290039062,1,1,1,2,1,1,1,2
19089,4,1,109,2,1214,"rural",3652.97290039062,1,0,1,2,1,2,1,3
19091,4,1,109,2,1214,"rural",3652.97290039062,2,1,1,2,2,2,0,5
19092,4,1,109,2,1214,"rural",3652.97290039062,2,1,0,2,2,2,0,2
19093,4,1,109,2,1214,"rural",3652.97290039062,1,1,1,2,2,2,1,5
19094,4,1,109,2,1214,"rural",3652.97290039062,1,1,0,2,2,2,1,2
19095,4,1,109,2,1214,"rural",3652.97290039062,1,1,1,2,2,2,1,2
19096,4,1,109,2,1214,"rural",3652.97290039062,1,1,0,2,2,2,1,3
19097,4,1,109,2,1792,"rural",7128.5556640625,1,1,0,1,2,2,1,3
19098,4,1,109,2,1792,"rural",7128.5556640625,1,1,0,2,2,2,1,2
19099,4,1,109,2,1792,"rural",7128.5556640625,2,0,0,2,2,2,0,2
19100,4,1,109,2,1792,"rural",7128.5556640625,2,1,1,2,2,2,0,2
