"hhid","zone","state","lga","sector","ea","plotid","cropcode","crop_name","crop_type","wt_wave4","area_type"
10009,4,1,105,2,0,1,1080,"maize","céréale",15279.640625,"rural"
10009,4,1,105,2,0,2,1080,"maize","céréale",15279.640625,"rural"
10031,4,1,111,1,1146,1,1080,"maize","céréale",4958.84716796875,"urban"
10031,4,1,111,1,1146,1,2190,"pumpkin","autres",4958.84716796875,"urban"
10061,4,1,107,2,1044,1,2080,"garden egg","autres",3131.96923828125,"rural"
10061,4,1,107,2,1044,2,2060,"cucumber","autres",3131.96923828125,"rural"
10061,4,1,107,2,1044,3,1124,"yam, three leaved","tubercule",3131.96923828125,"rural"
10061,4,1,107,2,1044,4,1020,"cassava","tubercule",3131.96923828125,"rural"
10061,4,1,107,2,1044,5,1080,"maize","céréale",3131.96923828125,"rural"
10061,4,1,107,2,1044,6,1121,"yam, white","tubercule",3131.96923828125,"rural"
10061,4,1,107,2,1044,6,2142,"pepper, small (rodo)","autres",3131.96923828125,"rural"
10061,4,1,107,2,1044,6,2194,"green vegetable (spinach, ugu, etc.)","autres",3131.96923828125,"rural"
10062,4,1,107,2,1044,1,1080,"maize","céréale",3131.96923828125,"rural"
10062,4,1,107,2,1044,2,1080,"maize","céréale",3131.96923828125,"rural"
10062,4,1,107,2,1044,2,2080,"garden egg","autres",3131.96923828125,"rural"
10062,4,1,107,2,1044,3,1020,"cassava","tubercule",3131.96923828125,"rural"
10062,4,1,107,2,1044,3,1080,"maize","céréale",3131.96923828125,"rural"
10063,4,1,107,2,1044,2,1080,"maize","céréale",3131.96923828125,"rural"
10063,4,1,107,2,1044,2,2120,"okro","autres",3131.96923828125,"rural"
10063,4,1,107,2,1044,3,1080,"maize","céréale",3131.96923828125,"rural"
10064,4,1,107,2,1044,1,1080,"maize","céréale",3131.96923828125,"rural"
10064,4,1,107,2,1044,2,1080,"maize","céréale",3131.96923828125,"rural"
10064,4,1,107,2,1044,3,1080,"maize","céréale",3131.96923828125,"rural"
10065,4,1,102,1,0,1,1080,"maize","céréale",3131.96923828125,"urban"
10065,4,1,102,1,0,1,2190,"pumpkin","autres",3131.96923828125,"urban"
10065,4,1,102,1,0,2,1080,"maize","céréale",3131.96923828125,"urban"
10066,4,1,107,2,1044,1,1080,"maize","céréale",3131.96923828125,"rural"
10066,4,1,107,2,1044,1,2190,"pumpkin","autres",3131.96923828125,"rural"
