"zone_ru","state","n_menages","total","type_engrais","taux","ic_lo","ic_hi"
"Rural",1,303499.863769531,581272.892822266,"NPK",0.522129738918226,0.520845486772502,0.523413698568221
"Rural",2,160318.537597656,364284.887573242,"NPK",0.440091101954986,0.438479770081483,0.441703697318388
"Rural",3,25029.4428710938,628036.330627441,"NPK",0.0398534951729433,0.0393725121198684,0.0403401072731026
"Rural",4,21148.8984375,164165.614501953,"NPK",0.128826602950086,0.127214735205689,0.130455841128121
"Rural",5,483437.935058594,790362.644775391,"NPK",0.611665971632528,0.610590960187929,0.612739897605413
"Rural",7,135234.508789062,718226.022338867,"NPK",0.188289625525789,0.187387162785948,0.189195422637056
"Rural",8,20714.328125,42631.283203125,"NPK",0.485895018132637,0.481152105627241,0.49064047237832
"Rural",11,103964.307373047,471920.761474609,"NPK",0.220300346711151,0.219120170571027,0.221485076352803
"Rural",14,67747.6501464844,592804.42199707,"NPK",0.114283307668746,0.113475906311047,0.115095707994514
"Rural",15,138591.268432617,218133.02935791,"NPK",0.635352054847312,0.633329780140789,0.637369562369424
"Rural",16,183296.092773438,630532.347412109,"NPK",0.290700538244768,0.289581005698633,0.291822621049803
"Rural",17,115021.381469727,418382.967773438,"NPK",0.274918890895226,0.273568090220951,0.276273824777302
"Rural",18,766464.505371094,868008.154052734,"NPK",0.883015328591635,0.882337495761055,0.883689771290235
"Rural",19,689152.454345703,996525.701904297,"NPK",0.69155512299259,0.690647597489818,0.692461171667863
"Rural",20,444529.981689453,666269.072753906,"NPK",0.667192880275932,0.666060443360922,0.668323389258556
"Rural",21,171821.227294922,383332.530273438,"NPK",0.44823022761037,0.446656445937003,0.44980504686568
"Rural",22,49855.4086914062,128842.141113281,"NPK",0.386949551292943,0.384293493554914,0.389612350081561
"Rural",23,2981.58972167969,282058.137451172,"NPK",0.0105708339019144,0.0102000225174271,0.0109549765549016
"Rural",25,168862.86328125,286844.47265625,"NPK",0.58869136196887,0.586889439319402,0.590490909117433
"Rural",26,136411.607421875,532316.007324219,"NPK",0.256260577448295,0.255089564483573,0.257435108279039
"Rural",27,8554.85205078125,255757.906860352,"NPK",0.0334490227723531,0.0327591528632789,0.034152907571289
"Rural",30,9047.970703125,426153.474365234,"NPK",0.0212317187290381,0.0208032045608541,0.0216688643043052
"Rural",31,671615.336425781,836723.779296875,"NPK",0.802672701605493,0.801818566499805,0.803524057539823
"Rural",32,91595.013671875,816258.015625,"NPK",0.112213309907581,0.111530417463634,0.11289985232387
"Rural",33,135714.353027344,491590.815673828,"NPK",0.276071783076986,0.274823838864786,0.277323226965237
"Rural",34,138142.634277344,436723.647705078,"NPK",0.31631590137897,0.31493830395647,0.317696730175352
"Rural",35,6600.67858886719,264866.08996582,"NPK",0.0249208140978672,0.0243340110721741,0.0255213974505261
"Rural",36,659936.217773438,814627.249511719,"NPK",0.810108203683339,0.809255029164887,0.810958453521141
"Rural",37,4126.44952392578,35283.658203125,"NPK",0.116950728299491,0.11363918365117,0.120345671772758
"Urbain",1,3131.96923828125,42611.9826660156,"NPK",0.0734997304121944,0.0710602941029041,0.0760160575598662
"Urbain",2,29408.2890625,35504.0700683594,"NPK",0.828307543497898,0.824349418695028,0.832194631742737
"Urbain",3,49082.8596191406,130407.71862793,"NPK",0.376380019032312,0.373754217482124,0.37901310338881
"Urbain",4,113346.43359375,456052.898925781,"NPK",0.248537908345137,0.247285761965961,0.249794290957153
"Urbain",5,1359.95593261719,2039.93389892578,"NPK",0.666666666666667,0.645913619371419,0.686793184109349
"Urbain",7,6362.4658203125,19087.3974609375,"NPK",0.333333333333333,0.326679885986993,0.340053852611409
"Urbain",8,1350.86767578125,203504.554199219,"NPK",0.00663802184229662,0.00629441055290612,0.00700025869960691
"Urbain",10,2122.96044921875,69684.7384033203,"NPK",0.0304652137306093,0.0292148322897691,0.0317673597087641
