"state","culture_label","n","n_pondere","mediane","moyenne_ponderee","q25","q75"
"6","Maïs",3,58517.8601074219,201.518109811181,198.846007660408,197.149758557727,220.647156147416
"3","Maïs",57,242451.699645996,250.521920668058,562.047559998241,58.3712454339843,553.675775033043
"9","Maïs",15,65712.0922851562,250.742930407553,327.015903100747,120.515205030823,407.943666777335
"7","Maïs",58,312967.935424805,251.634674170175,455.934913114001,86.0970015302548,517.549661946418
"32","Maïs",9,122660.711914062,261.19765218137,412.532700541529,250.295487728568,267.565157070657
"35","Maïs",2,14070.138671875,255.577709444602,143.187774294992,182.240256845906,328.915162043299
"35","Millet",45,206621.895751953,273.953838778166,445.89935353866,143.822810297713,566.037735849057
"28","Maïs",11,157506.718383789,275.01909854851,1282.91966687113,129.145199328632,1880.45285297311
"25","Maïs",33,471825.09375,305.7206484423,577.408137949772,206.513442228422,607.437464313049
"11","Maïs",76,385995.084960938,327.846498756591,479.414662979925,149.392692702121,582.674944372687
"29","Maïs",16,89917.464050293,347.066265745705,291.896857223055,118.650702790191,642.777495255232
"16","Maïs",167,743935.112060547,448.989773010726,928.523410516676,193.856548271734,897.897554244694
"1","Maïs",239,875690.096557617,455.673130474406,746.340782437359,148.397381063683,986.966623830906
"17","Maïs",6,40146.7119140625,532.627882077717,706.241138443487,274.284435001346,791.96360640434
"17","Millet",105,527674.903320312,470.470149131667,641.061932221646,307.093868359095,665.623867035376
"33","Maïs",3,18864.595703125,269.353014060227,386.266934911671,259.933283421716,499.469585743909
"33","Millet",161,1213318.74121094,475.194852461265,796.352011290259,244.814018951641,1078.14386751768
"13","Maïs",24,34350.086730957,523.87566419354,726.353243255022,209.360028672571,905.333096249279
"22","Maïs",42,100146.741821289,565.093743738015,1479.17397413666,334.502903586392,1344.37860584806
"12","Maïs",37,125420.702880859,598.347439522734,1173.45451275412,297.508355129608,1514.8752331926
"10","Maïs",44,186025.934570312,602.054026015426,653.945152047524,228.120828983676,1033.75365877714
"34","Maïs",54,284889.811279297,603.404403575972,1113.0884220093,343.457687714969,1462.71248437216
"34","Millet",2,7529.275390625,482.113499382592,482.113499382592,348.890737134372,615.336261630813
"14","Maïs",94,458511.674316406,629.835191163351,1120.78837473015,211.275501149505,1561.5769078051
"30","Maïs",26,226706.291992188,636.858228400226,881.738136166937,351.792369015862,1164.06209957741
"5","Maïs",176,630268.584899902,957.700786326943,1367.72271756637,547.355105113758,1792.23418645595
"5","Millet",200,726643.339111328,424.047750232814,492.676338642248,228.998931335145,711.654894100411
"23","Maïs",91,353254.022155762,760.167236792094,1027.28964294875,325.439020934371,1442.12282600474
"23","Millet",8,16551.7801513672,577.246545981937,921.496262313492,448.21031868104,1058.76834629605
"19","Maïs",80,523012.563964844,1172.07411198912,1729.11719671831,715.166134173731,2262.40281097784
"19","Millet",98,800326.4765625,494.155195126065,665.519276021683,235.571726730797,786.735839895046
"37","Maïs",41,62784.0079650879,775.583482944345,1046.49216105323,291.180148921467,1371.8528082634
"31","Maïs",102,1148326.80175781,1115.40865727045,1538.59957367881,615.370275461064,2535.14363148941
"31","Millet",42,241110.111328125,309.750476887126,427.563983611719,148.589130168078,678.894750167691
"20","Maïs",57,491350.468505859,1682.6518593303,1893.51671875637,789.577575996842,2889.83932493353
"20","Millet",83,546757.338623047,454.008877962005,731.744575566662,189.540858158281,968.781125863079
"4","Maïs",79,534702.19921875,952.885174848342,1087.24378859025,449.66676099796,1495.42077254532
"27","Maïs",13,59759.6090087891,974.355504431964,544.070161346967,88.7865833607366,1787.74120317821
"21","Maïs",11,54647.8403320312,848.599137931035,1678.0453680657,656.801237088838,1830.11106479951
"21","Millet",34,241130.231201172,1011.44884286607,1216.22918585221,451.632309580068,1597.25716279027
"15","Maïs",87,174981.597351074,1208.24019815139,1387.7893157419,799.322510915368,1956.74207185547
"15","Millet",44,115989.364990234,618.106569220659,756.390394344733,368.719217616942,1025.25743785099
"2","Maïs",223,420348.616333008,1008.42028416225,1215.04575402479,421.951065909761,1837.32100175084
"2","Millet",2,2883.40490722656,635.002870832719,592.880944422808,367.36679893486,902.638942730578
"26","Maïs",40,213912.7734375,1004.33853663923,1380.89768259169,519.289271699039,1979.86642205508
"26","Millet",15,118193.213867188,1075.65047649918,1313.12889885791,285.235574008332,2009.77566717889
"36","Maïs",20,287372.028808594,1557.62425430619,1962.53007185824,1212.75750099524,2202.3799105501
"36","Millet",34,425452.737792969,1691.36851379842,2019.39059038005,1360.66870260081,2344.6927215684
"18","Maïs",148,835133.131225586,1739.07302191469,2190.84000140186,781.100348346703,3433.21737332997
"18","Millet",5,15156.0325927734,510.421097405359,768.67945264278,468.351191642329,731.957280484456
"8","Maïs",15,26606.865234375,1831.73673664157,2087.08747051054,999.023337911943,2530.21233948661
