"state_name","n","n_pondere","mediane","moyenne_ponderee","q25","q75"
"Katsina",51,422236.841552734,1847.24324601688,2148.36479879517,904.289680507133,3031.56142985589
"Borno",15,26606.865234375,1831.73673664157,2087.08747051054,999.023337911943,2530.21233948661
"Kaduna",146,828871.170288086,1760.87135333745,2202.84335462714,788.718408359364,3450.33705149677
"Zamfara",20,287372.028808594,1557.62425430619,1962.53007185824,1212.75750099524,2202.3799105501
"Kano",74,496600.282714844,1231.533975871,1790.1995005047,781.415241455802,2378.66496894183
"Gombe",85,170181.373352051,1216.75879198132,1413.43296051759,828.878113473414,1997.92208111875
"Plateau",91,1079665.09570312,1141.89144200209,1568.28623752514,622.406117208073,2617.95793007059
"Adamawa",223,420348.616333008,1008.42028416225,1215.04575402479,421.951065909761,1837.32100175084
"Niger",39,201399.685546875,996.049005611076,1369.41702423356,490.410844687287,2009.52807260916
"Ogun",13,59759.6090087891,974.355504431964,544.070161346967,88.7865833607366,1787.74120317821
"Bauchi",172,625643.109069824,969.044061852383,1374.76065152521,596.939105158749,1793.80810000173
"Anambra",79,534702.19921875,952.885174848342,1087.24378859025,449.66676099796,1495.42077254532
"Kebbi",11,54647.8403320312,848.599137931035,1678.0453680657,656.801237088838,1830.11106479951
"FCT",41,62784.0079650879,775.583482944345,1046.49216105323,291.180148921467,1371.8528082634
"Kwara",91,353254.022155762,760.167236792094,1027.28964294875,325.439020934371,1442.12282600474
"Oyo",26,226706.291992188,636.858228400226,881.738136166937,351.792369015862,1164.06209957741
"Enugu",94,458511.674316406,629.835191163351,1120.78837473015,211.275501149505,1561.5769078051
"Taraba",54,284889.811279297,603.404403575972,1113.0884220093,343.457687714969,1462.71248437216
"Delta",44,186025.934570312,602.054026015426,653.945152047524,228.120828983676,1033.75365877714
"Edo",37,125420.702880859,598.347439522734,1173.45451275412,297.508355129608,1514.8752331926
"Kogi",42,100146.741821289,565.093743738015,1479.17397413666,334.502903586392,1344.37860584806
"Jigawa",4,26764.474609375,532.627882077717,792.717007542954,313.467468789012,1011.87742083166
"Ekiti",24,34350.086730957,523.87566419354,726.353243255022,209.360028672571,905.333096249279
"Sokoto",2,10286.6865234375,499.469585743909,499.469585743909,384.411299902068,614.52787158575
"Abia",239,875690.096557617,455.673130474406,746.340782437359,148.397381063683,986.966623830906
"Imo",167,743935.112060547,448.989773010726,928.523410516676,193.856548271734,897.897554244694
"Osun",16,89917.464050293,347.066265745705,291.896857223055,118.650702790191,642.777495255232
"Ebonyi",76,385995.084960938,327.846498756591,479.414662979925,149.392692702121,582.674944372687
"Nasarawa",33,471825.09375,305.7206484423,577.408137949772,206.513442228422,607.437464313049
"Ondo",11,157506.718383789,275.01909854851,1282.91966687113,129.145199328632,1880.45285297311
"Rivers",9,122660.711914062,261.19765218137,412.532700541529,250.295487728568,267.565157070657
"Yobe",2,14070.138671875,255.577709444602,143.187774294992,182.240256845906,328.915162043299
"Benue",58,312967.935424805,251.634674170175,455.934913114001,86.0970015302548,517.549661946418
"Cross River",15,65712.0922851562,250.742930407553,327.015903100747,120.515205030823,407.943666777335
"Akwa Ibom",57,242451.699645996,250.521920668058,562.047559998241,58.3712454339843,553.675775033043
"Bayelsa",3,58517.8601074219,201.518109811181,198.846007660408,197.149758557727,220.647156147416
