"state_name","n","n_pondere","mediane","moyenne_ponderee","q25","q75"
"Zamfara",26,351473.226074219,1882.28359265793,2243.79746373727,1477.0068522872,2904.12015350089
"Niger",12,90711.8603515625,1857.58675301888,1639.81696841443,567.889440586324,2064.11817700321
"Kebbi",34,241130.231201172,1011.44884286607,1216.22918585221,451.632309580068,1597.25716279027
"Kaduna",3,10868.4755859375,731.957280484456,877.352974143551,532.914632535608,975.008539793709
"Adamawa",2,2883.40490722656,635.002870832719,592.880944422808,367.36679893486,902.638942730578
"Gombe",24,63909.7706298828,618.106569220659,830.79877882411,437.136887284662,975.473645977714
"Kano",69,648498.430419922,581.327752586908,726.973146146844,290.056851142824,955.611876134162
"Kwara",2,5492.27795410156,577.246545981937,560.262215549724,551.417594747506,603.075497216368
"Taraba",2,7529.275390625,482.113499382592,482.113499382592,348.890737134372,615.336261630813
"Sokoto",162,1217824.73925781,476.173302963296,805.868378757929,245.874945041617,1096.19479559571
"Jigawa",105,527674.903320312,470.470149131667,641.061932221646,307.093868359095,665.623867035376
"Katsina",73,463926.231201172,449.842555105713,671.075215986304,192.228687920395,927.127743878983
"Bauchi",185,671643.915283203,428.485737545144,498.707038896477,249.403448955584,742.894773964501
"Plateau",30,175850.575683594,309.750476887126,478.149828939023,181.444613289287,706.698435639528
"Yobe",45,206621.895751953,273.953838778166,445.89935353866,143.822810297713,566.037735849057
